p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.6548323605e-06	0.000901056220291	TP53 Regulates Transcription of Death Receptors and Ligands	Reactome	R-HSA-6803211	ENSG00000141510; ENSG00000143514; ENSG00000026103; ENSG00000104689; ENSG00000173530	355; 7157; 8793; 8797; 7159	12	12
1.6548323605e-06	0.000901056220291	Metallothioneins bind metals	Reactome	R-HSA-5661231	ENSG00000187193; ENSG00000198417; ENSG00000125148; ENSG00000205364; ENSG00000169715	4494; 4501; 4493; 4499; 4502	12	12
4.62268290355e-06	0.00158320860271	Mineral absorption - Homo sapiens (human)	KEGG	path:hsa04978	ENSG00000187193; ENSG00000071967; ENSG00000169715; ENSG00000143153; ENSG00000129244; ENSG00000198417; ENSG00000125148; ENSG00000205364	4502; 4493; 4494; 4501; 79901; 4499; 481; 482	51	51
5.98904822612e-06	0.00158320860271	Response to metal ions	Reactome	R-HSA-5660526	ENSG00000187193; ENSG00000198417; ENSG00000125148; ENSG00000205364; ENSG00000169715	4494; 4501; 4493; 4499; 4502	15	15
8.24932968882e-06	0.00158320860271	ApoE and miR-146 in inflammation and atherosclerosis	Wikipathways	WP3926	ENSG00000130203; ENSG00000173039; ENSG00000076604; ENSG00000136869	9618; 7099; 5970; 348	8	8
8.72291241165e-06	0.00158320860271	Glycine, serine and threonine metabolism - Homo sapiens (human)	KEGG	path:hsa00260	ENSG00000123453; ENSG00000092621; ENSG00000179761; ENSG00000135069; ENSG00000164904; ENSG00000016391; ENSG00000135094	29968; 51268; 1757; 55349; 10993; 26227; 501	40	40
3.11493754978e-05	0.0048459528453	Oxidative Stress	Wikipathways	WP408	ENSG00000187193; ENSG00000008394; ENSG00000121691; ENSG00000140465; ENSG00000109610; ENSG00000181019	1543; 6649; 4501; 4257; 847; 1728	33	33
4.06865242881e-05	0.00553845311871	RAC1-PAK1-p38-MMP2 Pathway	Wikipathways	WP3303	ENSG00000141510; ENSG00000165806; ENSG00000089159; ENSG00000149269; ENSG00000116194; ENSG00000150907; ENSG00000141736; ENSG00000173039	5058; 840; 7157; 5829; 9068; 5970; 2308; 2064	68	68
5.34752177611e-05	0.0064563239094	EGFR1	NetPath	Pathway_EGFR1	ENSG00000087077; ENSG00000140575; ENSG00000167601; ENSG00000183255; ENSG00000149269; ENSG00000124942; ENSG00000137936; ENSG00000141736; ENSG00000124145; ENSG00000013364; ENSG00000148498; ENSG00000185338; ENSG00000089159; ENSG00000150907; ENSG00000177303; ENSG00000152661; ENSG00000142627; ENSG00000141510; ENSG00000129219; ENSG00000132470; ENSG00000173039; ENSG00000067606	558; 5590; 79026; 7205; 5338; 8826; 8412; 5829; 1969; 2697; 3691; 9961; 5058; 2308; 5970; 57513; 7157; 56288; 2064; 8651; 754; 6385	457	455
5.92867209312e-05	0.0064563239094	Proximal tubule bicarbonate reclamation - Homo sapiens (human)	KEGG	path:hsa04964	ENSG00000080493; ENSG00000135423; ENSG00000115419; ENSG00000129244; ENSG00000143153	27165; 2744; 8671; 481; 482	23	23
7.45890971399e-05	0.00709575660803	Copper homeostasis	Wikipathways	WP3286	ENSG00000187193; ENSG00000141510; ENSG00000169715; ENSG00000198417; ENSG00000125148; ENSG00000150907; ENSG00000109610	2308; 6649; 7157; 4494; 4493; 4502; 4501	55	55
7.81901554604e-05	0.00709575660803	sarcosine oncometabolite pathway 	SMPDB	SMP02313	ENSG00000164904; ENSG00000129353; ENSG00000016391; ENSG00000123453	57153; 55349; 501; 1757	13	13
0.000110647961723	0.00926889463972	Glutamate Glutamine metabolism	INOH	None	ENSG00000164904; ENSG00000135821; ENSG00000135423; ENSG00000159423; ENSG00000115419	501; 8659; 27165; 2752; 2744	27	26
0.000128322959414	0.00931624685347	Choline catabolism	Reactome	R-HSA-6798163	ENSG00000164904; ENSG00000016391; ENSG00000123453	501; 55349; 1757	6	6
0.000128322959414	0.00931624685347	lysine degradation II (pipecolate pathway)	HumanCyc	PWY66-425	ENSG00000164904; ENSG00000179761; ENSG00000103316	1428; 501; 51268	6	6
0.000210920885204	0.0141842241744	Metabolism of amino acids and derivatives	Reactome	R-HSA-71291	ENSG00000179761; ENSG00000123453; ENSG00000135423; ENSG00000128311; ENSG00000016391; ENSG00000159423; ENSG00000100033; ENSG00000115419; ENSG00000092621; ENSG00000135821; ENSG00000103316; ENSG00000088826; ENSG00000164904; ENSG00000135069; ENSG00000181019; ENSG00000241935; ENSG00000135094	7263; 1728; 2744; 10993; 501; 1757; 55349; 54498; 5625; 27165; 2752; 26227; 1428; 51268; 112817; 8659; 29968	342	334
0.000221424987112	0.0141842241744	superpathway of choline degradation to L-serine	HumanCyc	PWY66-414	ENSG00000164904; ENSG00000016391; ENSG00000123453	55349; 501; 1757	7	7
0.000298564176784	0.0175071812263	Fc gamma R-mediated phagocytosis - Homo sapiens (human)	KEGG	path:hsa04666	ENSG00000158195; ENSG00000078053; ENSG00000149269; ENSG00000162407; ENSG00000129219; ENSG00000143226; ENSG00000182541; ENSG00000145555	4651; 2212; 5338; 273; 3985; 8613; 10163; 5058	91	90
