p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.04424543862e-11	6.0357386352e-09	HSP90 chaperone cycle for steroid hormone receptors (SHR)	Reactome	R-HSA-3371497	ENSG00000204388; ENSG00000004478; ENSG00000086061; ENSG00000080824; ENSG00000132002; ENSG00000168439; ENSG00000110958; ENSG00000096060	10728; 3320; 10963; 3301; 2289; 2288; 3337; 3304	19	19
1.15980704163e-10	2.81427968951e-08	Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	ENSG00000162645; ENSG00000206503; ENSG00000067182; ENSG00000134470; ENSG00000140464; ENSG00000125148; ENSG00000136244; ENSG00000117226; ENSG00000077150; ENSG00000100906; ENSG00000090339; ENSG00000142089; ENSG00000077238; ENSG00000108342; ENSG00000128342; ENSG00000168884; ENSG00000115594; ENSG00000090376; ENSG00000163221; ENSG00000204525; ENSG00000184557; ENSG00000185201; ENSG00000115604; ENSG00000196126	3601; 3976; 5371; 7132; 4792; 3566; 10410; 6283; 3123; 2635; 3105; 3554; 4502; 3107; 9021; 8809; 10581; 3383; 3569; 11213; 1440; 2634; 79155; 4791	458	458
1.70364648413e-10	2.81427968951e-08	TNF signaling pathway - Homo sapiens (human)	KEGG	path:hsa04668	ENSG00000108691; ENSG00000100906; ENSG00000090339; ENSG00000168404; ENSG00000184557; ENSG00000069399; ENSG00000115604; ENSG00000078401; ENSG00000163739; ENSG00000128342; ENSG00000172216; ENSG00000136244; ENSG00000067182	1051; 602; 8809; 2919; 197259; 1906; 4792; 6347; 3383; 9021; 3976; 7132; 3569	110	110
1.94759840105e-10	2.81427968951e-08	Interleukin-10 signaling	Wikipathways	WP4063	ENSG00000108691; ENSG00000090339; ENSG00000136244; ENSG00000171051; ENSG00000108342; ENSG00000163739; ENSG00000128342; ENSG00000115594; ENSG00000067182	7132; 3554; 3383; 6347; 3976; 2919; 1440; 3569; 2357	38	38
3.95641143914e-10	4.57361162365e-08	Attenuation phase	Reactome	R-HSA-3371568	ENSG00000149257; ENSG00000004478; ENSG00000080824; ENSG00000132002; ENSG00000204388; ENSG00000106211; ENSG00000110958; ENSG00000173110	2288; 3320; 3315; 3310; 871; 3304; 10728; 3337	28	28
5.16181987832e-10	4.97255314945e-08	Interleukin-4 and Interleukin-13 signaling	Wikipathways	WP4066	ENSG00000108691; ENSG00000090339; ENSG00000221869; ENSG00000080824; ENSG00000143384; ENSG00000184557; ENSG00000113916; ENSG00000137193; ENSG00000077238; ENSG00000124762; ENSG00000136244; ENSG00000128342	3320; 3566; 3569; 9021; 1026; 4170; 604; 5292; 1052; 6347; 3976; 3383	97	97
9.7713948531e-10	8.06838032156e-08	HSF1 activation	Reactome	R-HSA-3371511	ENSG00000149257; ENSG00000004478; ENSG00000080824; ENSG00000132002; ENSG00000204388; ENSG00000106211; ENSG00000110958; ENSG00000173110	2288; 3320; 3315; 3310; 871; 3304; 10728; 3337	31	31
3.01766326853e-09	2.07011890265e-07	Cellular responses to external stimuli	Reactome	R-HSA-8953897	ENSG00000187193; ENSG00000172216; ENSG00000149257; ENSG00000110958; ENSG00000004478; ENSG00000132002; ENSG00000151929; ENSG00000086061; ENSG00000080824; ENSG00000168439; ENSG00000096060; ENSG00000204388; ENSG00000205362; ENSG00000124762; ENSG00000106211; ENSG00000125148; ENSG00000205364; ENSG00000225217; ENSG00000136244; ENSG00000111581; ENSG00000173110	57122; 3304; 3569; 4499; 1051; 9531; 3301; 3320; 4502; 3310; 2288; 4501; 3315; 4489; 1026; 871; 10728; 10963; 3311; 2289; 3337	414	411
3.25688626317e-09	2.07011890265e-07	Immune System	Reactome	R-HSA-168256	ENSG00000162645; ENSG00000159403; ENSG00000168884; ENSG00000137462; ENSG00000206503; ENSG00000143546; ENSG00000171051; ENSG00000011422; ENSG00000067182; ENSG00000244734; ENSG00000173369; ENSG00000198805; ENSG00000134470; ENSG00000179218; ENSG00000204388; ENSG00000163739; ENSG00000140464; ENSG00000125148; ENSG00000136244; ENSG00000090376; ENSG00000077150; ENSG00000168394; ENSG00000100906; ENSG00000090339; ENSG00000142089; ENSG00000147813; ENSG00000080824; ENSG00000158825; ENSG00000196954; ENSG00000108342; ENSG00000128342; ENSG00000077238; ENSG00000115594; ENSG00000117226; ENSG00000018280; ENSG00000196126; ENSG00000133048; ENSG00000103196; ENSG00000204525; ENSG00000184557; ENSG00000185201; ENSG00000186470; ENSG00000115604; ENSG00000197249; ENSG00000163220; ENSG00000163221; ENSG00000173110	5371; 7132; 83716; 837; 2357; 2635; 6279; 10581; 11118; 2919; 2634; 3976; 5329; 3554; 4792; 978; 7097; 3043; 715; 8809; 6280; 6556; 4860; 5265; 3601; 3569; 3566; 6283; 811; 3123; 713; 3105; 3320; 4502; 1116; 3310; 93100; 11213; 1440; 79155; 9021; 10410; 6890; 3107; 3304; 3383; 4791	1840	1816
3.58152059282e-09	2.07011890265e-07	HSF1-dependent transactivation	Reactome	R-HSA-3371571	ENSG00000149257; ENSG00000004478; ENSG00000080824; ENSG00000132002; ENSG00000204388; ENSG00000106211; ENSG00000110958; ENSG00000173110	3320; 3315; 3310; 871; 10728; 2288; 3304; 3337	36	36
8.90274017518e-09	4.67798529205e-07	Cellular response to heat stress	Reactome	R-HSA-3371556	ENSG00000149257; ENSG00000004478; ENSG00000151929; ENSG00000080824; ENSG00000132002; ENSG00000204388; ENSG00000106211; ENSG00000110958; ENSG00000225217; ENSG00000111581; ENSG00000173110	871; 3310; 57122; 10728; 2288; 9531; 3315; 3304; 3320; 3311; 3337	99	99
1.38919762751e-08	6.69130190583e-07	Human T-cell leukemia virus 1 infection - Homo sapiens (human)	KEGG	path:hsa05166	ENSG00000206503; ENSG00000100906; ENSG00000082898; ENSG00000090339; ENSG00000136244; ENSG00000204525; ENSG00000134470; ENSG00000179218; ENSG00000175592; ENSG00000124762; ENSG00000067182; ENSG00000128016; ENSG00000196126; ENSG00000115594; ENSG00000077150	1026; 3601; 3105; 3107; 3123; 4791; 4792; 3554; 811; 3383; 7514; 7538; 8061; 7132; 3569	219	219
4.74249561115e-08	2.10858651019e-06	Malaria - Homo sapiens (human)	KEGG	path:hsa05144	ENSG00000206172; ENSG00000108691; ENSG00000244734; ENSG00000188536; ENSG00000090339; ENSG00000137462; ENSG00000108342; ENSG00000136244	1440; 7097; 3383; 6347; 3039; 3040; 3043; 3569	49	49
5.95153482867e-08	2.45713366498e-06	IL-17 signaling pathway - Homo sapiens (human)	KEGG	path:hsa04657	ENSG00000108691; ENSG00000100906; ENSG00000080824; ENSG00000175592; ENSG00000143546; ENSG00000108342; ENSG00000163739; ENSG00000163220; ENSG00000172216; ENSG00000136244	1051; 6279; 6280; 4792; 6347; 3320; 2919; 8061; 1440; 3569	93	93
1.21243853268e-07	4.67192981258e-06	Legionellosis - Homo sapiens (human)	KEGG	path:hsa05134	ENSG00000100906; ENSG00000137462; ENSG00000144381; ENSG00000163739; ENSG00000136244; ENSG00000204388; ENSG00000173110; ENSG00000077150	3329; 4791; 7097; 4792; 3304; 2919; 3310; 3569	55	55
1.62622522194e-07	5.87473861427e-06	Cellular responses to stress	Reactome	R-HSA-2262752	ENSG00000172216; ENSG00000149257; ENSG00000004478; ENSG00000151929; ENSG00000086061; ENSG00000080824; ENSG00000096060; ENSG00000204388; ENSG00000124762; ENSG00000168439; ENSG00000106211; ENSG00000132002; ENSG00000110958; ENSG00000225217; ENSG00000136244; ENSG00000111581; ENSG00000173110	57122; 3569; 1051; 9531; 3301; 3320; 3310; 2288; 3315; 3304; 1026; 871; 10728; 10963; 3311; 2289; 3337	345	342
2.10388278568e-07	7.1532014713e-06	Regulation of HSF1-mediated heat shock response	Reactome	R-HSA-3371453	ENSG00000149257; ENSG00000004478; ENSG00000151929; ENSG00000132002; ENSG00000204388; ENSG00000106211; ENSG00000225217; ENSG00000111581; ENSG00000173110	9531; 2288; 3310; 871; 3311; 57122; 3315; 3337; 3304	81	81
2.47427998983e-07	7.55327142967e-06	Neutrophil degranulation	Reactome	R-HSA-6798695	ENSG00000018280; ENSG00000244734; ENSG00000011422; ENSG00000204388; ENSG00000103196; ENSG00000198805; ENSG00000204525; ENSG00000080824; ENSG00000137462; ENSG00000158825; ENSG00000206503; ENSG00000147813; ENSG00000197249; ENSG00000133048; ENSG00000143546; ENSG00000171051; ENSG00000163739; ENSG00000163220; ENSG00000163221; ENSG00000173110	5329; 83716; 978; 2357; 6283; 3043; 3105; 3320; 1116; 6279; 3310; 3107; 6280; 93100; 3304; 6556; 2919; 4860; 5265; 7097	490	484
2.48290929349e-07	7.55327142967e-06	Epstein-Barr virus infection - Homo sapiens (human)	KEGG	path:hsa05169	ENSG00000206503; ENSG00000100906; ENSG00000090339; ENSG00000204525; ENSG00000179218; ENSG00000116717; ENSG00000137462; ENSG00000124762; ENSG00000099860; ENSG00000136244; ENSG00000196126; ENSG00000077150; ENSG00000168394	1026; 4616; 3383; 3105; 3107; 3123; 1647; 4791; 4792; 6890; 811; 7097; 3569	201	200
3.22545124552e-07	9.32155409954e-06	Influenza A - Homo sapiens (human)	KEGG	path:hsa05164	ENSG00000108691; ENSG00000100906; ENSG00000090339; ENSG00000082898; ENSG00000184557; ENSG00000132002; ENSG00000204388; ENSG00000140464; ENSG00000136244; ENSG00000196126; ENSG00000173110; ENSG00000067182	3123; 3383; 4792; 6347; 3304; 3310; 5371; 3337; 9021; 7514; 3569; 7132	171	171
3.7929012149e-07	1.04395090581e-05	Direct p53 effectors	PID	p53downstreampathway	ENSG00000124762; ENSG00000173530; ENSG00000143384; ENSG00000113916; ENSG00000116717; ENSG00000168209; ENSG00000140464; ENSG00000140379; ENSG00000128342; ENSG00000204388; ENSG00000168394	604; 3976; 1647; 5371; 597; 6890; 3304; 54541; 4170; 1026; 8793	143	142
5.46034272486e-07	1.43458095226e-05	Cellular response to heat stress	Wikipathways	WP3395	ENSG00000106211; ENSG00000149257; ENSG00000173110; ENSG00000132002; ENSG00000004478	2288; 871; 3337; 3310; 3315	16	16
7.51752310122e-07	1.8345546152e-05	Herpes simplex infection - Homo sapiens (human)	KEGG	path:hsa05168	ENSG00000108691; ENSG00000100906; ENSG00000204525; ENSG00000184557; ENSG00000179094; ENSG00000137462; ENSG00000206503; ENSG00000140464; ENSG00000136244; ENSG00000196126; ENSG00000067182; ENSG00000168394	3105; 3123; 5187; 4792; 6347; 3107; 6890; 5371; 9021; 7097; 7132; 3569	185	185
7.61752781398e-07	1.8345546152e-05	Interferon gamma signaling	Reactome	R-HSA-877300	ENSG00000162645; ENSG00000090339; ENSG00000204525; ENSG00000184557; ENSG00000206503; ENSG00000140464; ENSG00000125148; ENSG00000196126; ENSG00000117226	5371; 3107; 3123; 2635; 9021; 3383; 3105; 2634; 4502	94	94
1.10432994464e-06	2.52687550979e-05	Interferon Signaling	Reactome	R-HSA-913531	ENSG00000162645; ENSG00000090339; ENSG00000142089; ENSG00000204525; ENSG00000184557; ENSG00000185201; ENSG00000206503; ENSG00000140464; ENSG00000125148; ENSG00000196126; ENSG00000117226	5371; 3107; 3123; 2635; 9021; 10581; 3383; 3105; 2634; 10410; 4502	158	158
1.13665680371e-06	2.52687550979e-05	Antigen processing and presentation - Homo sapiens (human)	KEGG	path:hsa04612	ENSG00000080824; ENSG00000204525; ENSG00000179218; ENSG00000204388; ENSG00000206503; ENSG00000196126; ENSG00000173110; ENSG00000168394	3105; 3107; 811; 3123; 3304; 3310; 3320; 6890	77	73
1.49976308663e-06	3.21060394102e-05	Adipogenesis	Wikipathways	WP236	ENSG00000221869; ENSG00000184557; ENSG00000116717; ENSG00000124762; ENSG00000105835; ENSG00000147872; ENSG00000099860; ENSG00000136244; ENSG00000172216; ENSG00000128342	123; 3569; 10135; 1647; 9021; 1026; 4616; 1051; 1052; 3976	131	131
2.53216025391e-06	5.22710223844e-05	IL23-mediated signaling events	PID	il23pathway	ENSG00000108691; ENSG00000100906; ENSG00000184557; ENSG00000115604; ENSG00000163739; ENSG00000136244	8809; 3569; 2919; 9021; 4792; 6347	37	37
3.68307603651e-06	7.34075154862e-05	Signaling by Interleukins	Reactome	R-HSA-449147	ENSG00000100906; ENSG00000115594; ENSG00000168884; ENSG00000134470; ENSG00000184557; ENSG00000077238; ENSG00000115604; ENSG00000108342; ENSG00000128342; ENSG00000163221; ENSG00000136244; ENSG00000077150; ENSG00000090376	3976; 3569; 3601; 1440; 11213; 4792; 3566; 9021; 8809; 6283; 3554; 79155; 4791	254	254
4.95586154828e-06	9.54829324968e-05	IL1 and megakaryocytes in obesity	Wikipathways	WP2865	ENSG00000108691; ENSG00000163220; ENSG00000090339; ENSG00000115594; ENSG00000137462	7097; 3554; 3383; 6347; 6280	24	24
5.52248216076e-06	0.00010296757061	Lung fibrosis	Wikipathways	WP3624	ENSG00000108691; ENSG00000108342; ENSG00000197249; ENSG00000125148; ENSG00000078401; ENSG00000136244; ENSG00000172216	1051; 1906; 6347; 1440; 4502; 5265; 3569	64	64
6.05956180083e-06	0.000106904740905	Metallothioneins bind metals	Reactome	R-HSA-5661231	ENSG00000205362; ENSG00000187193; ENSG00000125148; ENSG00000205364	4501; 4499; 4502; 4489	12	12
6.10355787175e-06	0.000106904740905	Apoptosis Modulation and Signaling	Wikipathways	WP1772	ENSG00000100906; ENSG00000173530; ENSG00000151929; ENSG00000143384; ENSG00000196954; ENSG00000140379; ENSG00000115594; ENSG00000067182	3554; 597; 7132; 837; 9531; 4170; 8793; 4792	91	91
6.79990789116e-06	0.00011559843415	Folate Metabolism	Wikipathways	WP176	ENSG00000206172; ENSG00000108691; ENSG00000244734; ENSG00000065911; ENSG00000090339; ENSG00000136244; ENSG00000077150	10797; 3043; 6347; 3569; 3383; 4791; 3039	66	66
1.00973578751e-05	0.000166750652909	Glucocorticoid Receptor Pathway	Wikipathways	WP2880	ENSG00000108691; ENSG00000099860; ENSG00000167772; ENSG00000080824; ENSG00000122862; ENSG00000110958; ENSG00000077150	3320; 4616; 10728; 5552; 4791; 6347; 51129	71	70
1.54226146161e-05	0.000247618645781	Photodynamic therapy-induced AP-1 survival signaling.	Wikipathways	WP3611	ENSG00000143384; ENSG00000080824; ENSG00000069399; ENSG00000124762; ENSG00000136244; ENSG00000067182	3320; 7132; 602; 4170; 1026; 3569	50	50
1.62929641263e-05	0.000254522520675	Response to metal ions	Reactome	R-HSA-5660526	ENSG00000205362; ENSG00000187193; ENSG00000125148; ENSG00000205364	4501; 4499; 4502; 4489	15	15
1.73247094313e-05	0.000263517948718	Vitamin B12 Metabolism	Wikipathways	WP1533	ENSG00000206172; ENSG00000108691; ENSG00000244734; ENSG00000090339; ENSG00000136244; ENSG00000077150	3043; 3383; 6347; 3569; 4791; 3039	51	51
1.90213968669e-05	0.00028190685613	Interleukin-1 family signaling	Reactome	R-HSA-446652	ENSG00000100906; ENSG00000168884; ENSG00000115604; ENSG00000163221; ENSG00000115594; ENSG00000077150; ENSG00000090376	3554; 11213; 6283; 8809; 4792; 79155; 4791	77	77
2.15611548359e-05	0.000305869119248	Innate Immune System	Reactome	R-HSA-168249	ENSG00000011422; ENSG00000137462; ENSG00000206503; ENSG00000143546; ENSG00000171051; ENSG00000159403; ENSG00000244734; ENSG00000173369; ENSG00000198805; ENSG00000204388; ENSG00000163739; ENSG00000133048; ENSG00000077150; ENSG00000100906; ENSG00000147813; ENSG00000080824; ENSG00000158825; ENSG00000196954; ENSG00000168884; ENSG00000090376; ENSG00000018280; ENSG00000103196; ENSG00000204525; ENSG00000197249; ENSG00000163220; ENSG00000163221; ENSG00000173110	7097; 5329; 4792; 83716; 978; 2357; 6283; 3043; 837; 713; 3105; 3320; 1116; 6279; 3310; 3107; 6280; 3304; 715; 11213; 93100; 6556; 2919; 4860; 5265; 79155; 4791	1077	1059
2.16965984242e-05	0.000305869119248	Apoptosis-related network due to altered Notch3 in ovarian cancer	Wikipathways	WP2864	ENSG00000060138; ENSG00000184557; ENSG00000069399; ENSG00000124762; ENSG00000106211; ENSG00000144381	602; 3329; 3315; 9021; 8531; 1026	53	53
2.97433971581e-05	0.000409325798986	African trypanosomiasis - Homo sapiens (human)	KEGG	path:hsa05143	ENSG00000206172; ENSG00000244734; ENSG00000188536; ENSG00000090339; ENSG00000136244	3383; 3039; 3040; 3043; 3569	35	34
3.44006909368e-05	0.000462409287477	Photodynamic therapy-induced NF-kB survival signaling	Wikipathways	WP3617	ENSG00000136244; ENSG00000077150; ENSG00000090339; ENSG00000067182; ENSG00000140379	597; 7132; 4791; 3383; 3569	35	35
3.86953146461e-05	0.000508315724215	Spinal Cord Injury	Wikipathways	WP2431	ENSG00000108691; ENSG00000090339; ENSG00000173369; ENSG00000116717; ENSG00000115594; ENSG00000163739; ENSG00000128016; ENSG00000136244	3554; 7538; 2919; 713; 3569; 3383; 1647; 6347	117	117
4.4469902592e-05	0.000558279388403	Interleukin-1 signaling	Reactome	R-HSA-9020702	ENSG00000100906; ENSG00000168884; ENSG00000163221; ENSG00000115594; ENSG00000077150; ENSG00000090376	3554; 6283; 11213; 4792; 79155; 4791	60	60
4.53964208563e-05	0.000558279388403	Zinc homeostasis	Wikipathways	WP3529	ENSG00000205362; ENSG00000187193; ENSG00000260549; ENSG00000205364; ENSG00000125148	4499; 4501; 4500; 4502; 4489	37	37
4.53964208563e-05	0.000558279388403	Validated transcriptional targets of AP1 family members Fra1 and Fra2	PID	fra_pathway	ENSG00000108691; ENSG00000128342; ENSG00000136244; ENSG00000011422; ENSG00000175592	8061; 3976; 3569; 5329; 6347	37	37
5.36474173052e-05	0.000646004316716	IL12-mediated signaling events	PID	il12_2pathway	ENSG00000206503; ENSG00000115604; ENSG00000099860; ENSG00000196126; ENSG00000115594; ENSG00000077150	3105; 4616; 3554; 4791; 8809; 3123	65	62
6.49125845599e-05	0.00075216648546	NF-kappa B signaling pathway - Homo sapiens (human)	KEGG	path:hsa04064	ENSG00000100906; ENSG00000090339; ENSG00000140379; ENSG00000077150; ENSG00000099860; ENSG00000115594; ENSG00000067182	4616; 4791; 597; 4792; 3383; 7132; 3554	95	93
6.50663049706e-05	0.00075216648546	JAK-STAT signaling pathway - Homo sapiens (human)	KEGG	path:hsa04630	ENSG00000143384; ENSG00000134470; ENSG00000184557; ENSG00000137193; ENSG00000077238; ENSG00000124762; ENSG00000108342; ENSG00000128342; ENSG00000136244	3601; 4170; 1026; 5292; 9021; 3976; 1440; 3569; 3566	162	162
7.5384706617e-05	0.000854360008326	Binding and Uptake of Ligands by Scavenger Receptors	Reactome	R-HSA-2173782	ENSG00000206172; ENSG00000179218; ENSG00000244734; ENSG00000188536; ENSG00000080824	3043; 3320; 3039; 811; 3040	41	41
8.22992269375e-05	0.00089779823892	NOD-like receptor signaling pathway - Homo sapiens (human)	KEGG	path:hsa04621	ENSG00000108691; ENSG00000100906; ENSG00000080824; ENSG00000162645; ENSG00000196954; ENSG00000105835; ENSG00000163739; ENSG00000136244; ENSG00000117226	2635; 4792; 6347; 2634; 2919; 10135; 837; 3320; 3569	168	167
8.23240599702e-05	0.00089779823892	hypoxia and p53 in the cardiovascular system	BioCarta	p53hypoxiapathway	ENSG00000124762; ENSG00000080824; ENSG00000116717; ENSG00000204388	1647; 3320; 1026; 3304	22	22
9.06379272665e-05	0.000970161517778	JAK STAT MolecularVariation 1	INOH	None	ENSG00000134470; ENSG00000115594; ENSG00000115604; ENSG00000108342; ENSG00000128342; ENSG00000077238; ENSG00000136244	3601; 3976; 3554; 1440; 3569; 3566; 8809	98	98
9.90952468318e-05	0.00104140095761	Erythrocytes take up oxygen and release carbon dioxide	Reactome	R-HSA-1247673	ENSG00000206172; ENSG00000244734; ENSG00000188536	3043; 3040; 3039	9	9
0.000106605252684	0.00108101466757	AP-1 transcription factor network	PID	ap1_pathway	ENSG00000108691; ENSG00000175592; ENSG00000206503; ENSG00000125148; ENSG00000078401; ENSG00000136244	3105; 8061; 1906; 3569; 6347; 4502	70	70
0.000106605252684	0.00108101466757	Interferon alpha/beta signaling	Reactome	R-HSA-909733	ENSG00000162645; ENSG00000142089; ENSG00000204525; ENSG00000184557; ENSG00000185201; ENSG00000206503	3105; 9021; 3107; 2634; 10410; 10581	70	70
0.000116729546786	0.00115203750271	Chagas disease (American trypanosomiasis) - Homo sapiens (human)	KEGG	path:hsa05142	ENSG00000108691; ENSG00000100906; ENSG00000173369; ENSG00000179218; ENSG00000137462; ENSG00000136244; ENSG00000067182	4792; 713; 6347; 811; 7097; 7132; 3569	102	102
0.000117595523633	0.00115203750271	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	Reactome	R-HSA-983170	ENSG00000206503; ENSG00000204525; ENSG00000179218; ENSG00000168394	3105; 6890; 3107; 811	24	24
0.000146487823021	0.00141116602844	IL6-mediated signaling events	PID	il6_7pathway	ENSG00000136244; ENSG00000143384; ENSG00000184557; ENSG00000172216; ENSG00000221869	4170; 3569; 1052; 9021; 1051	47	47
0.000157412533015	0.00146934246934	Nuclear Receptors Meta-Pathway	Wikipathways	WP2882	ENSG00000108691; ENSG00000099860; ENSG00000185022; ENSG00000167772; ENSG00000080824; ENSG00000132002; ENSG00000004799; ENSG00000122862; ENSG00000197249; ENSG00000110958; ENSG00000096060; ENSG00000077150	3320; 10728; 23764; 5265; 2289; 4791; 5552; 51129; 6347; 4616; 5166; 3337	316	315
0.000158729422483	0.00146934246934	Human cytomegalovirus infection - Homo sapiens (human)	KEGG	path:hsa05163	ENSG00000206503; ENSG00000100906; ENSG00000108691; ENSG00000204525; ENSG00000179218; ENSG00000124762; ENSG00000136244; ENSG00000115594; ENSG00000067182; ENSG00000168394	1026; 3107; 4792; 3105; 6347; 6890; 811; 7132; 3554; 3569	225	224
0.000162695359927	0.00146934246934	Cytokines and Inflammatory Response	Wikipathways	WP530	ENSG00000108342; ENSG00000163739; ENSG00000136244; ENSG00000196126	1440; 2919; 3569; 3123	29	26
0.000162695359927	0.00146934246934	Endogenous TLR signaling	PID	toll_endogenous_pathway	ENSG00000163220; ENSG00000143546; ENSG00000144381; ENSG00000137462	6280; 6279; 7097; 3329	26	26
0.000178977407455	0.00159152217706	Antigen processing-Cross presentation	Reactome	R-HSA-1236975	ENSG00000206503; ENSG00000204525; ENSG00000137462; ENSG00000179218; ENSG00000168394	3105; 6890; 3107; 811; 7097	49	49
0.000186801740032	0.00163593038998	Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)	KEGG	path:hsa05167	ENSG00000206503; ENSG00000100906; ENSG00000090339; ENSG00000204525; ENSG00000124762; ENSG00000163739; ENSG00000128016; ENSG00000136244; ENSG00000067182	1026; 3105; 3107; 4792; 3383; 2919; 7538; 3569; 7132	186	186
0.000223668425478	0.00192273622226	Glucocorticoid receptor regulatory network	PID	reg_gr_pathway	ENSG00000090339; ENSG00000004478; ENSG00000080824; ENSG00000124762; ENSG00000136244; ENSG00000096060	3569; 2288; 2289; 3320; 1026; 3383	80	80
0.000226204261443	0.00192273622226	TNFalpha	NetPath	Pathway_TNFalpha	ENSG00000100906; ENSG00000077150; ENSG00000080824; ENSG00000069399; ENSG00000168884; ENSG00000090060; ENSG00000106211; ENSG00000140464; ENSG00000096060; ENSG00000067182	7132; 10914; 4792; 3315; 2289; 5371; 3320; 602; 4791; 79155	234	234
0.000231636970891	0.00194037926341	Phagosome - Homo sapiens (human)	KEGG	path:hsa04145	ENSG00000159403; ENSG00000204525; ENSG00000179218; ENSG00000167553; ENSG00000137462; ENSG00000206503; ENSG00000196126; ENSG00000168394	3105; 3107; 3123; 6890; 7097; 715; 811; 84790	152	151
0.00025342419939	0.00206308714433	Scavenging of heme from plasma	Reactome	R-HSA-2168880	ENSG00000206172; ENSG00000244734; ENSG00000188536	3043; 3040; 3039	12	12
