p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.26445375018e-07	0.000322684659401	Proteoglycans in cancer - Homo sapiens (human)	KEGG	path:hsa05205	ENSG00000146648; ENSG00000029534; ENSG00000105974; ENSG00000019991; ENSG00000169398; ENSG00000186298; ENSG00000115884; ENSG00000145349; ENSG00000142208; ENSG00000163251; ENSG00000017427; ENSG00000111186; ENSG00000100234; ENSG00000085741; ENSG00000136068; ENSG00000134318; ENSG00000102882; ENSG00000179295; ENSG00000123104; ENSG00000063660	3082; 7855; 5747; 3709; 5781; 207; 6382; 2817; 9475; 2317; 286; 817; 7481; 857; 5501; 3479; 1956; 7078; 81029; 5595	201	201
1.36245708863e-06	0.000877012136816	Alpha 6 Beta 4 signaling pathway	Wikipathways	WP244	ENSG00000172037; ENSG00000169398; ENSG00000142208; ENSG00000163932; ENSG00000102882; ENSG00000179295; ENSG00000091409; ENSG00000196878	5747; 3655; 5580; 5781; 3914; 3913; 207; 5595	33	33
1.84634134066e-06	0.000877012136816	Pathways in clear cell renal cell carcinoma	Wikipathways	WP4018	ENSG00000176974; ENSG00000146648; ENSG00000065833; ENSG00000149925; ENSG00000131473; ENSG00000124191; ENSG00000156515; ENSG00000142208; ENSG00000148516; ENSG00000111716; ENSG00000123096; ENSG00000135069	6470; 1956; 3945; 4199; 6935; 84969; 3098; 226; 29968; 47; 207; 8082	86	86
5.24739605015e-06	0.00186938484287	Pathways in cancer - Homo sapiens (human)	KEGG	path:hsa05200	ENSG00000172575; ENSG00000186350; ENSG00000017427; ENSG00000169398; ENSG00000117425; ENSG00000145349; ENSG00000143933; ENSG00000082512; ENSG00000102882; ENSG00000091409; ENSG00000168811; ENSG00000172037; ENSG00000019991; ENSG00000146648; ENSG00000142208; ENSG00000196878; ENSG00000156052; ENSG00000085741; ENSG00000111186; ENSG00000184916; ENSG00000163251; ENSG00000114353; ENSG00000171680; ENSG00000134318; ENSG00000181104; ENSG00000125845; ENSG00000152284; ENSG00000164136; ENSG00000070018; ENSG00000172380; ENSG00000105810; ENSG00000127920	2149; 57449; 2776; 8643; 650; 55970; 2771; 2791; 805; 817; 83439; 1021; 3082; 7188; 81029; 207; 9475; 7481; 6256; 3479; 5595; 3592; 3600; 3655; 5747; 3714; 7855; 3913; 3914; 10125; 1956; 4040	526	526
6.56623681605e-06	0.00187137749258	VEGFR1 specific signals	PID	vegfr1_pathway	ENSG00000118257; ENSG00000105974; ENSG00000099250; ENSG00000142208; ENSG00000143933; ENSG00000179295; ENSG00000102882	207; 805; 8829; 5781; 5595; 8828; 857	29	29
9.2005154299e-06	0.0021851224146	Signaling by VEGF	Reactome	R-HSA-194138	ENSG00000055163; ENSG00000118257; ENSG00000114738; ENSG00000105974; ENSG00000163932; ENSG00000099250; ENSG00000142208; ENSG00000169398; ENSG00000198561; ENSG00000134318; ENSG00000155849; ENSG00000123104	207; 9475; 26999; 8828; 5580; 1500; 9844; 8829; 857; 3709; 7867; 5747	100	100
1.23611833861e-05	0.00251638376075	Alpha6Beta4Integrin	NetPath	Pathway_Alpha6Beta4Integrin	ENSG00000146648; ENSG00000172037; ENSG00000169398; ENSG00000142208; ENSG00000163932; ENSG00000179295; ENSG00000102882; ENSG00000128245; ENSG00000091409; ENSG00000196878	207; 5595; 5781; 1956; 5747; 3913; 3914; 5580; 7533; 3655	71	71
2.63479108533e-05	0.00469322162075	Leptin	NetPath	Pathway_Leptin	ENSG00000146648; ENSG00000071242; ENSG00000169398; ENSG00000142208; ENSG00000163932; ENSG00000179295; ENSG00000102882; ENSG00000116678; ENSG00000156052	207; 2776; 5781; 5595; 1956; 5747; 6196; 5580; 3953	62	62
3.71352330662e-05	0.00587974523548	LncRNA involvement in canonical Wnt signaling and colorectal cancer	Wikipathways	WP4258	ENSG00000130600; ENSG00000071564; ENSG00000085741; ENSG00000152284; ENSG00000145423; ENSG00000111186; ENSG00000070018; ENSG00000163251; ENSG00000105810; ENSG00000163904; ENSG00000132386	5176; 83439; 283120; 4040; 81029; 6423; 6929; 7855; 7481; 1021; 59343	97	97
4.35407820147e-05	0.0062045614371	Apoptotic cleavage of cellular proteins	Reactome	R-HSA-111465	ENSG00000169398; ENSG00000087274; ENSG00000102572; ENSG00000163932; ENSG00000081277; ENSG00000148180; ENSG00000119139	8428; 9414; 118; 5747; 5317; 2934; 5580	38	38
