p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.76937055074e-06	0.00410484452975	Surfactant metabolism	Wikipathways	WP3579	ENSG00000122852; ENSG00000168484; ENSG00000185303; ENSG00000168878	653509; 6439; 6440; 729238	6	6
0.000513857987934	0.159543227547	Insulin effects increased synthesis of Xylulose-5-Phosphate	Reactome	R-HSA-163754	ENSG00000163931; ENSG00000177156	7086; 6888	2	2
0.000596261260604	0.159543227547	Thiamine metabolic pathways	Wikipathways	WP4297	ENSG00000103507; ENSG00000163931; ENSG00000105953	7086; 10295; 4967	8	8
0.000631041543717	0.159543227547	Metabolism of amino acids and derivatives	Reactome	R-HSA-71291	ENSG00000198130; ENSG00000204673; ENSG00000103257; ENSG00000101444; ENSG00000115705; ENSG00000103507; ENSG00000105953; ENSG00000265681; ENSG00000037241; ENSG00000070669; ENSG00000135821; ENSG00000137106; ENSG00000143149; ENSG00000104904; ENSG00000164904; ENSG00000077616; ENSG00000092621; ENSG00000135069	26275; 191; 501; 440; 10295; 2752; 51121; 7173; 26227; 4967; 223; 10003; 8140; 84335; 9380; 6139; 4946; 29968	342	334
0.000945707578073	0.159543227547	Amino acid synthesis and interconversion (transamination)	Reactome	R-HSA-70614	ENSG00000070669; ENSG00000135821; ENSG00000077616; ENSG00000092621; ENSG00000135069	440; 26227; 29968; 2752; 10003	35	34
0.00123523679554	0.159543227547	pentose phosphate pathway	HumanCyc	PENTOSE-P-PWY	ENSG00000163931; ENSG00000049239; ENSG00000177156	7086; 9563; 6888	10	10
0.00127864584238	0.159543227547	Metabolism of proteins	Reactome	R-HSA-392499	ENSG00000137486; ENSG00000121022; ENSG00000165392; ENSG00000198356; ENSG00000184900; ENSG00000137547; ENSG00000175166; ENSG00000111667; ENSG00000164068; ENSG00000185303; ENSG00000125445; ENSG00000115486; ENSG00000037241; ENSG00000104823; ENSG00000158019; ENSG00000121691; ENSG00000119231; ENSG00000180573; ENSG00000099364; ENSG00000168878; ENSG00000171148; ENSG00000122852; ENSG00000265681; ENSG00000114867; ENSG00000203814; ENSG00000186469; ENSG00000099341; ENSG00000204220; ENSG00000124257; ENSG00000009830; ENSG00000145982; ENSG00000157911; ENSG00000153989; ENSG00000158623; ENSG00000138073; ENSG00000114988; ENSG00000110619; ENSG00000103121; ENSG00000167986; ENSG00000165280; ENSG00000125378; ENSG00000186907; ENSG00000118894; ENSG00000108306; ENSG00000079999; ENSG00000167862; ENSG00000119048; ENSG00000166167; ENSG00000175768; ENSG00000179115; ENSG00000196358; ENSG00000100664; ENSG00000105402; ENSG00000196363; ENSG00000184678; ENSG00000168484; ENSG00000132475; ENSG00000150401; ENSG00000136378; ENSG00000112139; ENSG00000141646; ENSG00000106105; ENSG00000127824; ENSG00000170043; ENSG00000172551	10113; 10471; 84961; 54620; 847; 266727; 140825; 6439; 55208; 2677; 54331; 1891; 7277; 116150; 4089; 1642; 8334; 3396; 5708; 58485; 10987; 408; 1983; 196483; 63891; 729238; 51121; 2617; 6612; 6139; 349667; 6440; 5192; 56942; 7486; 8775; 8078; 401505; 8945; 10667; 10474; 29954; 1981; 439; 833; 8349; 2193; 11173; 3021; 653509; 7320; 118430; 26958; 81562; 29088; 7415; 11091; 440689; 51081; 9817; 9577; 652; 5714; 205564; 84628	2008	1992
0.00151839359419	0.159543227547	glucocorticoid biosynthesis	HumanCyc	PWY66-381	ENSG00000160882; ENSG00000148795	1584; 1586	3	3
0.00158434306226	0.159543227547	CXCR3-mediated signaling events	PID	cxcr3pathway	ENSG00000186469; ENSG00000137486; ENSG00000198793; ENSG00000185386; ENSG00000174775	2475; 3265; 54331; 408; 5600	38	38
0.00158434306226	0.159543227547	Signaling by FGFR1 in disease	Reactome	R-HSA-5655302	ENSG00000156735; ENSG00000111790; ENSG00000109458; ENSG00000033327; ENSG00000174775	2549; 9530; 3265; 26127; 9846	38	38
