p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
6.52977399997e-06	0.00716316207797	Regulation of PLK1 Activity at G2/M Transition	Reactome	R-HSA-2565942	ENSG00000113558; ENSG00000188229; ENSG00000141577; ENSG00000055130; ENSG00000167461; ENSG00000197102; ENSG00000213639; ENSG00000204843; ENSG00000127824; ENSG00000077380	8454; 10383; 5500; 7277; 1639; 22994; 4218; 6500; 1781; 1778	87	87
1.58423463228e-05	0.00868952695806	MAP kinase cascade	HumanCyc	PWY66-14	ENSG00000166913; ENSG00000132155; ENSG00000126934; ENSG00000169032	5605; 5894; 5604; 7529	9	9
6.9332616332e-05	0.014947126715	G2/M Transition	Reactome	R-HSA-69275	ENSG00000113558; ENSG00000188229; ENSG00000141577; ENSG00000100393; ENSG00000055130; ENSG00000167461; ENSG00000197102; ENSG00000213639; ENSG00000204843; ENSG00000127824; ENSG00000077380	8454; 5500; 7277; 2033; 1639; 22994; 10383; 4218; 6500; 1781; 1778	137	137
7.90892421157e-05	0.014947126715	Mitotic G2-G2/M phases	Reactome	R-HSA-453274	ENSG00000113558; ENSG00000188229; ENSG00000141577; ENSG00000100393; ENSG00000055130; ENSG00000167461; ENSG00000197102; ENSG00000213639; ENSG00000204843; ENSG00000127824; ENSG00000077380	8454; 5500; 7277; 2033; 1639; 22994; 10383; 4218; 6500; 1781; 1778	139	139
8.02212473126e-05	0.014947126715	CXCR3-mediated signaling events	PID	cxcr3pathway	ENSG00000106976; ENSG00000185386; ENSG00000169032; ENSG00000128266; ENSG00000132155; ENSG00000126934	1759; 5605; 5894; 5600; 5604; 2781	38	38
8.45750563902e-05	0.014947126715	melanocyte development and pigmentation pathway	BioCarta	melanocytepathway	ENSG00000100393; ENSG00000132155; ENSG00000126934; ENSG00000169032	5894; 5604; 5605; 2033	13	13
0.000116614387959	0.014947126715	Retrograde neurotrophin signalling	Reactome	R-HSA-177504	ENSG00000196961; ENSG00000198400; ENSG00000141367; ENSG00000106976	160; 4914; 1759; 1213	14	14
0.000123649698389	0.014947126715	Focal Adhesion	Wikipathways	WP306	ENSG00000173511; ENSG00000065534; ENSG00000017427; ENSG00000169231; ENSG00000019991; ENSG00000125503; ENSG00000169032; ENSG00000130402; ENSG00000132155; ENSG00000213639; ENSG00000137809; ENSG00000130669; ENSG00000168477	10298; 5500; 7059; 5604; 81; 3479; 7148; 7423; 4638; 3082; 54776; 22801; 5894	198	198
0.000130057457161	0.014947126715	Focal adhesion - Homo sapiens (human)	KEGG	path:hsa04510	ENSG00000173511; ENSG00000065534; ENSG00000019991; ENSG00000169032; ENSG00000169231; ENSG00000017427; ENSG00000125503; ENSG00000130669; ENSG00000130402; ENSG00000213639; ENSG00000137809; ENSG00000132155; ENSG00000168477	3082; 10298; 4638; 5894; 81; 22801; 7423; 5500; 7059; 3479; 5604; 7148; 54776	199	199
0.000136254573519	0.014947126715	Negative feedback regulation of MAPK pathway	Reactome	R-HSA-5674499	ENSG00000132155; ENSG00000126934; ENSG00000169032	5894; 5604; 5605	6	6
0.000155039707741	0.0154616872175	L1CAM interactions	Reactome	R-HSA-373760	ENSG00000011009; ENSG00000106976; ENSG00000254598; ENSG00000141367; ENSG00000145362; ENSG00000169032; ENSG00000196961; ENSG00000108797; ENSG00000126934	1759; 5605; 283106; 5604; 287; 160; 8506; 11313; 1213	103	102
0.00017615652322	0.0161036421644	role of erbb2 in signal transduction and oncology	BioCarta	her2pathway	ENSG00000162434; ENSG00000100393; ENSG00000132155; ENSG00000126934; ENSG00000169032	3716; 5894; 5605; 5604; 2033	28	28
0.000202518148288	0.0170894160516	Synaptic vesicle cycle - Homo sapiens (human)	KEGG	path:hsa04721	ENSG00000136854; ENSG00000106976; ENSG00000168993; ENSG00000131100; ENSG00000196961; ENSG00000141367; ENSG00000047249	529; 6812; 160; 51606; 1213; 10815; 1759	63	63
0.000290499299961	0.022762695147	Nongenotropic Androgen signaling	PID	ar_nongenomic_pathway	ENSG00000128266; ENSG00000132155; ENSG00000126934; ENSG00000147437; ENSG00000169032	2796; 5894; 5605; 5604; 2781	31	31
0.000358017169541	0.0254597515908	Renal cell carcinoma - Homo sapiens (human)	KEGG	path:hsa05211	ENSG00000126934; ENSG00000019991; ENSG00000169032; ENSG00000100393; ENSG00000130669; ENSG00000132155; ENSG00000119699	7043; 5894; 3082; 2033; 10298; 5604; 5605	69	69
0.000371336395126	0.0254597515908	anthrax toxin mechanism of action	BioCarta	anthraxpathway	ENSG00000126934; ENSG00000169032	5604; 5605	2	2
0.000515214097723	0.033246462659	sprouty regulation of tyrosine kinase signals	BioCarta	sprypathway	ENSG00000132155; ENSG00000126934; ENSG00000164056; ENSG00000169032	10252; 5894; 5604; 5605	20	20
0.000566144924409	0.0343831017223	Signaling by Receptor Tyrosine Kinases	Reactome	R-HSA-9006934	ENSG00000173511; ENSG00000196961; ENSG00000169752; ENSG00000185386; ENSG00000107338; ENSG00000164056; ENSG00000019991; ENSG00000166913; ENSG00000131100; ENSG00000169231; ENSG00000017427; ENSG00000160307; ENSG00000198400; ENSG00000141367; ENSG00000047249; ENSG00000061676; ENSG00000102978; ENSG00000138592; ENSG00000106976	3082; 10252; 145957; 7529; 4914; 10787; 6461; 3479; 1213; 51606; 529; 1759; 9101; 160; 7423; 6285; 5432; 5600; 7059	423	423
0.000626856913807	0.0343831017223	NGF	INOH	None	ENSG00000198400; ENSG00000132155; ENSG00000126934; ENSG00000169032	5894; 4914; 5604; 5605	21	21
0.000626856913807	0.0343831017223	igf-1 signaling pathway	BioCarta	igf1pathway	ENSG00000017427; ENSG00000169032; ENSG00000132155; ENSG00000254598	5894; 283106; 5604; 3479	21	21
