p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.00116631514235	0.147144116703	mtor signaling pathway	BioCarta	mtorpathway	ENSG00000107581; ENSG00000088832; ENSG00000005882	5164; 8661; 2280	25	25
0.00143454759608	0.147144116703	Signaling by TGF-beta Receptor Complex in Cancer	Reactome	R-HSA-3304351	ENSG00000088832; ENSG00000166949	2280; 4088	7	7
0.00199688260026	0.147144116703	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	KEGG	path:hsa00760	ENSG00000138356; ENSG00000163864; ENSG00000166741	316; 4837; 349565	30	30
0.00243229254773	0.147144116703	Sperm Motility And Taxes	Reactome	R-HSA-1300642	ENSG00000166762; ENSG00000099338	117155; 57828	9	9
0.00302368783904	0.147144116703	HDR through MMEJ (alt-NHEJ)	Reactome	R-HSA-5685939	ENSG00000143799; ENSG00000020922	142; 4361	10	10
0.00515539213159	0.147144116703	Homologous recombination	Wikipathways	WP186	ENSG00000020922; ENSG00000197275	25788; 4361	13	13
0.00598171630539	0.147144116703	Hypoacetylaspartia	SMPDB	SMP00192	ENSG00000183044; ENSG00000070669	18; 440	14	14
0.00598171630539	0.147144116703	Aspartate Metabolism	SMPDB	SMP00067	ENSG00000183044; ENSG00000070669	18; 440	14	14
0.00598171630539	0.147144116703	Canavan Disease	SMPDB	SMP00175	ENSG00000183044; ENSG00000070669	18; 440	14	14
0.00598171630539	0.147144116703	Nicotinate and Nicotinamide Metabolism	SMPDB	SMP00048	ENSG00000138356; ENSG00000166741	4837; 316	14	14
0.00677373713458	0.147144116703	Aryl Hydrocarbon Receptor Pathway	Wikipathways	WP2873	ENSG00000063438; ENSG00000108602; ENSG00000140465	218; 57491; 1543	46	46
0.00686424204245	0.147144116703	Histidine Metabolism	SMPDB	SMP00044	ENSG00000108602; ENSG00000139344	218; 144193	15	15
0.00686424204245	0.147144116703	Histidinemia	SMPDB	SMP00191	ENSG00000108602; ENSG00000139344	218; 144193	15	15
0.00780198230022	0.147144116703	Hedgehog Signaling Pathway	Wikipathways	WP47	ENSG00000117425; ENSG00000133794	406; 8643	16	16
0.00780198230022	0.147144116703	NAD+ metabolism	Wikipathways	WP3644	ENSG00000163864; ENSG00000143799	349565; 142	16	16
0.00853661247351	0.147144116703	Protein alkylation leading to liver fibrosis	Wikipathways	WP3980	ENSG00000143799; ENSG00000166949; ENSG00000157150	4088; 142; 7079	50	50
0.00901540612734	0.147144116703	Neurotransmitter release cycle	Reactome	R-HSA-112310	ENSG00000183044; ENSG00000175003; ENSG00000005379	9256; 6580; 18	51	51
0.00983921992113	0.147144116703	Norepinephrine Neurotransmitter Release Cycle	Reactome	R-HSA-181430	ENSG00000175003; ENSG00000005379	6580; 9256	18	18
