p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.18897294962e-18	3.82038959364e-15	TNF signaling pathway - Homo sapiens (human)	KEGG	path:hsa04668	ENSG00000125347; ENSG00000168404; ENSG00000125538; ENSG00000163739; ENSG00000128342; ENSG00000067182; ENSG00000177606; ENSG00000108691; ENSG00000107968; ENSG00000069399; ENSG00000028137; ENSG00000170345; ENSG00000136244; ENSG00000172216; ENSG00000128272; ENSG00000081041; ENSG00000100906; ENSG00000090339; ENSG00000078401; ENSG00000100985; ENSG00000171223; ENSG00000034152; ENSG00000118503; ENSG00000184557; ENSG00000115604; ENSG00000173039	1051; 3659; 602; 8809; 2919; 197259; 3725; 3726; 1906; 4792; 6347; 4318; 468; 1326; 2353; 3383; 9021; 5970; 2920; 3976; 7128; 7132; 7133; 3553; 5606; 3569	110	110
2.12061978168e-16	1.27025124922e-13	Validated transcriptional targets of AP1 family members Fra1 and Fra2	PID	fra_pathway	ENSG00000108691; ENSG00000011422; ENSG00000169429; ENSG00000136244; ENSG00000175592; ENSG00000100292; ENSG00000171223; ENSG00000132470; ENSG00000164867; ENSG00000075426; ENSG00000130522; ENSG00000100985; ENSG00000128342; ENSG00000178726; ENSG00000128272; ENSG00000177606	468; 3576; 3725; 3691; 8061; 3976; 7056; 4846; 3727; 3162; 3569; 4318; 5329; 3726; 2355; 6347	37	37
1.30783614919e-15	5.22262568908e-13	IL-17 signaling pathway - Homo sapiens (human)	KEGG	path:hsa04657	ENSG00000125538; ENSG00000125740; ENSG00000163739; ENSG00000177606; ENSG00000108691; ENSG00000169429; ENSG00000175592; ENSG00000173039; ENSG00000130522; ENSG00000170345; ENSG00000136244; ENSG00000172216; ENSG00000081041; ENSG00000100906; ENSG00000056972; ENSG00000080824; ENSG00000108342; ENSG00000100985; ENSG00000118503; ENSG00000166598; ENSG00000143546; ENSG00000163220	10758; 7184; 1051; 6279; 6280; 3725; 3727; 4792; 6347; 4318; 3320; 2353; 2354; 3553; 5970; 2919; 2920; 8061; 1440; 7128; 3569; 3576	93	93
3.395035144e-15	1.01681302563e-12	Interleukin-4 and Interleukin-13 signaling	Wikipathways	WP4066	ENSG00000143384; ENSG00000171223; ENSG00000108691; ENSG00000221869; ENSG00000169429; ENSG00000112715; ENSG00000124762; ENSG00000170345; ENSG00000136244; ENSG00000090339; ENSG00000080824; ENSG00000160712; ENSG00000100292; ENSG00000077238; ENSG00000137193; ENSG00000125538; ENSG00000100985; ENSG00000128342; ENSG00000184557; ENSG00000113916; ENSG00000136997; ENSG00000028137	3320; 3553; 3566; 3569; 7133; 3576; 3570; 7422; 3162; 4609; 3726; 9021; 1026; 4170; 2353; 604; 5292; 1052; 6347; 3976; 4318; 3383	97	97
3.39542825211e-14	8.13544609205e-12	Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	ENSG00000125347; ENSG00000162645; ENSG00000168884; ENSG00000172183; ENSG00000027697; ENSG00000120738; ENSG00000206503; ENSG00000108342; ENSG00000161960; ENSG00000067182; ENSG00000177606; ENSG00000008517; ENSG00000107968; ENSG00000134470; ENSG00000028137; ENSG00000162889; ENSG00000140464; ENSG00000170345; ENSG00000136244; ENSG00000090376; ENSG00000077150; ENSG00000125148; ENSG00000100906; ENSG00000090339; ENSG00000142089; ENSG00000104856; ENSG00000160712; ENSG00000077238; ENSG00000026508; ENSG00000125538; ENSG00000128342; ENSG00000111321; ENSG00000115594; ENSG00000117226; ENSG00000034152; ENSG00000163221; ENSG00000204525; ENSG00000185885; ENSG00000184557; ENSG00000185201; ENSG00000006327; ENSG00000115604; ENSG00000173039; ENSG00000196126	3601; 3976; 5371; 8519; 7132; 3553; 4792; 9261; 3566; 960; 10410; 6283; 2353; 3123; 2635; 51330; 3105; 5970; 3554; 9235; 4502; 7133; 3725; 3107; 5606; 9021; 8809; 10581; 3383; 3569; 11213; 4055; 3669; 1440; 3570; 3659; 1326; 5971; 1958; 2634; 3459; 1973; 79155; 4791	458	458
3.21504348555e-13	6.41937015948e-11	Legionellosis - Homo sapiens (human)	KEGG	path:hsa05134	ENSG00000081041; ENSG00000100906; ENSG00000185122; ENSG00000204390; ENSG00000170458; ENSG00000169429; ENSG00000137462; ENSG00000173039; ENSG00000144381; ENSG00000125538; ENSG00000163739; ENSG00000136244; ENSG00000204388; ENSG00000173110; ENSG00000077150; ENSG00000249437	3329; 929; 4791; 7097; 3305; 3553; 4792; 2920; 3297; 3304; 2919; 5970; 3310; 3569; 3576; 4671	55	55
1.11734143734e-12	1.91225005991e-10	Immune System	Reactome	R-HSA-168256	ENSG00000182326; ENSG00000172183; ENSG00000027697; ENSG00000171236; ENSG00000125538; ENSG00000161960; ENSG00000107968; ENSG00000159189; ENSG00000133048; ENSG00000142089; ENSG00000108622; ENSG00000147813; ENSG00000118503; ENSG00000168884; ENSG00000196954; ENSG00000167984; ENSG00000108342; ENSG00000117226; ENSG00000018280; ENSG00000166598; ENSG00000103196; ENSG00000154589; ENSG00000173110; ENSG00000125347; ENSG00000159403; ENSG00000013561; ENSG00000185201; ENSG00000143546; ENSG00000067182; ENSG00000134470; ENSG00000179218; ENSG00000140464; ENSG00000104856; ENSG00000125753; ENSG00000111321; ENSG00000115594; ENSG00000090376; ENSG00000044574; ENSG00000184557; ENSG00000186470; ENSG00000115604; ENSG00000173372; ENSG00000118004; ENSG00000021355; ENSG00000206503; ENSG00000163191; ENSG00000177606; ENSG00000244734; ENSG00000008517; ENSG00000173369; ENSG00000164867; ENSG00000136244; ENSG00000158869; ENSG00000077150; ENSG00000241106; ENSG00000077238; ENSG00000168394; ENSG00000008394; ENSG00000204525; ENSG00000185885; ENSG00000120738; ENSG00000006327; ENSG00000162747; ENSG00000196126; ENSG00000174059; ENSG00000162645; ENSG00000011422; ENSG00000160712; ENSG00000137462; ENSG00000171051; ENSG00000163739; ENSG00000100504; ENSG00000026508; ENSG00000198805; ENSG00000143226; ENSG00000204388; ENSG00000163565; ENSG00000028137; ENSG00000162889; ENSG00000125148; ENSG00000170345; ENSG00000110852; ENSG00000100906; ENSG00000090339; ENSG00000170458; ENSG00000080824; ENSG00000158825; ENSG00000142583; ENSG00000100985; ENSG00000128342; ENSG00000034152; ENSG00000197249; ENSG00000173039; ENSG00000135926; ENSG00000163220; ENSG00000163221	929; 5371; 7132; 3553; 83716; 837; 2357; 78989; 4846; 8519; 2635; 23643; 2212; 6279; 10581; 2207; 116844; 9976; 11118; 2919; 64114; 3309; 3384; 2634; 2215; 712; 3976; 5329; 7408; 3554; 4792; 978; 7097; 960; 3659; 3043; 7184; 4318; 715; 51330; 8809; 6280; 6556; 4055; 1973; 4860; 1958; 5265; 3601; 3569; 714; 3566; 6283; 197358; 2353; 811; 3123; 7128; 3112; 713; 3105; 3320; 4502; 3725; 1116; 9261; 3310; 93100; 716; 11213; 6282; 3669; 6518; 5971; 9235; 3459; 1440; 79155; 9604; 1992; 4257; 9021; 5836; 10410; 3428; 5970; 7133; 6890; 3107; 3304; 3383; 5606; 3570; 1326; 947; 4791	1840	1816
1.50749690121e-12	2.25747660957e-10	AP-1 transcription factor network	PID	ap1_pathway	ENSG00000108691; ENSG00000120738; ENSG00000162772; ENSG00000169429; ENSG00000175592; ENSG00000136997; ENSG00000206503; ENSG00000078401; ENSG00000125740; ENSG00000125148; ENSG00000130522; ENSG00000170345; ENSG00000100985; ENSG00000171223; ENSG00000136244; ENSG00000075426; ENSG00000177606	3726; 3105; 3725; 2354; 8061; 3576; 2353; 3727; 1906; 4318; 467; 4609; 1958; 2355; 3569; 6347; 4502	70	70
1.94442238358e-12	2.58824223948e-10	Spinal Cord Injury	Wikipathways	WP2431	ENSG00000081041; ENSG00000108691; ENSG00000170345; ENSG00000090339; ENSG00000116717; ENSG00000173369; ENSG00000159388; ENSG00000136997; ENSG00000136244; ENSG00000120738; ENSG00000169429; ENSG00000143878; ENSG00000123374; ENSG00000143226; ENSG00000187498; ENSG00000100985; ENSG00000125538; ENSG00000163739; ENSG00000128016; ENSG00000115594; ENSG00000123358	3554; 3553; 1958; 7538; 2212; 2919; 713; 3569; 3383; 3576; 1017; 388; 2920; 3164; 1647; 4609; 1282; 2353; 7832; 6347; 4318	117	117
5.37781442007e-12	6.44262167524e-10	Interleukin-10 signaling	Wikipathways	WP4063	ENSG00000081041; ENSG00000108691; ENSG00000090339; ENSG00000169429; ENSG00000136244; ENSG00000108342; ENSG00000028137; ENSG00000171051; ENSG00000125538; ENSG00000163739; ENSG00000128342; ENSG00000115594; ENSG00000067182	2920; 7133; 7132; 3554; 3553; 3383; 6347; 3576; 3976; 2919; 1440; 3569; 2357	38	38
