p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.37533542678e-06	0.00182188227234	Circadian Clock	Reactome	R-HSA-400253	ENSG00000126368; ENSG00000133794; ENSG00000179094; ENSG00000110090; ENSG00000213639; ENSG00000121671; ENSG00000163884	1408; 5500; 1374; 5187; 28999; 9572; 406	35	35
1.28472329824e-05	0.00380995789664	Circadian rhythm - Homo sapiens (human)	KEGG	path:hsa04710	ENSG00000126368; ENSG00000049246; ENSG00000113558; ENSG00000133794; ENSG00000179094; ENSG00000121671	1408; 406; 8863; 5187; 6500; 9572	31	30
1.93794991669e-05	0.00380995789664	Circadian Clock	Wikipathways	WP1797	ENSG00000126368; ENSG00000121671; ENSG00000179094; ENSG00000133794	5187; 406; 9572; 1408	10	10
2.13364753672e-05	0.00380995789664	Exercise-induced Circadian Regulation	Wikipathways	WP410	ENSG00000183283; ENSG00000133794; ENSG00000110321; ENSG00000179094; ENSG00000121671; ENSG00000174738; ENSG00000119138	406; 9975; 1408; 1982; 5187; 9802; 687	48	48
2.48367529116e-05	0.00380995789664	Regulation of PLK1 Activity at G2/M Transition	Reactome	R-HSA-2565942	ENSG00000113558; ENSG00000188229; ENSG00000141577; ENSG00000080824; ENSG00000167461; ENSG00000197102; ENSG00000213639; ENSG00000204843; ENSG00000077380	10383; 5500; 1639; 22994; 4218; 6500; 1781; 3320; 1778	87	87
0.000154306812847	0.0197255542423	Circadian rhythm pathway	PID	circadianpathway	ENSG00000126368; ENSG00000121671; ENSG00000179094; ENSG00000133794	5187; 9572; 1408; 406	16	16
0.000198960883394	0.0218004282233	Mitochondrial LC-Fatty Acid Beta-Oxidation	Wikipathways	WP368	ENSG00000178537; ENSG00000072778; ENSG00000084754; ENSG00000110090	3030; 37; 788; 1374	17	17
0.000322033723353	0.0286725540704	Melatonin metabolism and effects	Wikipathways	WP3298	ENSG00000049246; ENSG00000140465; ENSG00000179094; ENSG00000121671; ENSG00000133794	1543; 406; 1408; 8863; 5187	34	34
0.000440422259916	0.0286725540704	Glucocorticoid Pathway (Peripheral Tissue), Pharmacodynamics	PharmGKB	PA2027	ENSG00000170606; ENSG00000080824; ENSG00000004478	3308; 2288; 3320	9	9
0.00062086915738	0.0286725540704	Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids	SMPDB	SMP00482	ENSG00000178537; ENSG00000084754; ENSG00000110090	1374; 788; 3030	10	10
