p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.10415522565e-05	0.014033812918	Circadian Clock	Reactome	R-HSA-400253	ENSG00000132326; ENSG00000213923; ENSG00000109189; ENSG00000133794; ENSG00000110090; ENSG00000166167; ENSG00000134107	1454; 8864; 64854; 1374; 8553; 8945; 406	35	35
6.44144854255e-05	0.0352591636885	Ubiquitin mediated proteolysis - Homo sapiens (human)	KEGG	path:hsa04120	ENSG00000009335; ENSG00000138641; ENSG00000134574; ENSG00000130939; ENSG00000094880; ENSG00000166167; ENSG00000108094; ENSG00000140543; ENSG00000044090; ENSG00000012048; ENSG00000151148; ENSG00000128731	10277; 9820; 1643; 8916; 8924; 8945; 8453; 55070; 89910; 672; 9690; 8697	137	137
0.000127973258764	0.0352591636885	FGF	INOH	None	ENSG00000164056; ENSG00000139083; ENSG00000157557; ENSG00000109458; ENSG00000145675; ENSG00000132155; ENSG00000051382; ENSG00000170027	7532; 10252; 2549; 5894; 5291; 2120; 5295; 2114	67	67
0.000164251600409	0.0352591636885	HDR through Single Strand Annealing (SSA)	Reactome	R-HSA-5685938	ENSG00000097007; ENSG00000113522; ENSG00000012048; ENSG00000197299; ENSG00000117748; ENSG00000152942	672; 6118; 25; 5884; 10111; 641	37	37
0.000164251600409	0.0352591636885	Aldosterone-regulated sodium reabsorption - Homo sapiens (human)	KEGG	path:hsa04960	ENSG00000163399; ENSG00000143153; ENSG00000129244; ENSG00000176387; ENSG00000145675; ENSG00000051382	5291; 5295; 3291; 476; 481; 482	37	37
0.000218078674733	0.0352591636885	MET activates PI3K/AKT signaling	Reactome	R-HSA-8851907	ENSG00000145675; ENSG00000109458; ENSG00000019991	2549; 5295; 3082	6	6
0.000218078674733	0.0352591636885	Alternative NF-kappaB pathway	PID	nfkappabalternativepathway	ENSG00000166167; ENSG00000104856; ENSG00000077150	5971; 8945; 4791	6	6
0.000221930219912	0.0352591636885	Presynaptic phase of homologous DNA pairing and strand exchange	Reactome	R-HSA-5693616	ENSG00000108384; ENSG00000113522; ENSG00000012048; ENSG00000152942; ENSG00000117748; ENSG00000197299	672; 6118; 5884; 10111; 641; 5889	39	39
0.00033710762662	0.0441373508689	Homologous DNA Pairing and Strand Exchange	Reactome	R-HSA-5693579	ENSG00000108384; ENSG00000113522; ENSG00000012048; ENSG00000152942; ENSG00000117748; ENSG00000197299	672; 6118; 5884; 10111; 641; 5889	42	42
0.000377088260654	0.0441373508689	Circadian rhythm pathway	PID	circadianpathway	ENSG00000213923; ENSG00000133794; ENSG00000134107; ENSG00000132326	1454; 8864; 406; 8553	16	16
0.00043677720008	0.0441373508689	Carbohydrate digestion and absorption - Homo sapiens (human)	KEGG	path:hsa04973	ENSG00000163399; ENSG00000143153; ENSG00000129244; ENSG00000156515; ENSG00000145675; ENSG00000051382	3098; 5291; 5295; 482; 476; 481	44	44
0.000466941835867	0.0441373508689	Human T-cell leukemia virus 1 infection - Homo sapiens (human)	KEGG	path:hsa05166	ENSG00000112242; ENSG00000157557; ENSG00000094880; ENSG00000173175; ENSG00000104856; ENSG00000114166; ENSG00000166949; ENSG00000108773; ENSG00000128272; ENSG00000145675; ENSG00000105639; ENSG00000204642; ENSG00000051382; ENSG00000077150	3134; 2648; 111; 3718; 8850; 5291; 5295; 4791; 468; 1871; 2114; 4088; 5971; 8697	219	219
0.000513554898012	0.0441373508689	Circadian rhythm - Homo sapiens (human)	KEGG	path:hsa04710	ENSG00000213923; ENSG00000166167; ENSG00000132326; ENSG00000134107; ENSG00000133794	406; 8864; 1454; 8553; 8945	31	30
0.000513554898012	0.0441373508689	Extracellular vesicle-mediated signaling in recipient cells	Wikipathways	WP2870	ENSG00000134982; ENSG00000132155; ENSG00000198793; ENSG00000166949; ENSG00000019991	2475; 4088; 324; 3082; 5894	30	30
0.00055805203628	0.0441373508689	Fanconi anemia pathway	PID	fanconi_pathway	ENSG00000187790; ENSG00000113522; ENSG00000012048; ENSG00000152942; ENSG00000117748; ENSG00000197299	10111; 672; 5884; 57697; 641; 6118	46	46
0.000590350090299	0.0441373508689	Dectin-1 mediated noncanonical NF-kB signaling	Reactome	R-HSA-5607761	ENSG00000166167; ENSG00000104856; ENSG00000077150	5971; 8945; 4791	8	8
0.000590350090299	0.0441373508689	NIK-->noncanonical NF-kB signaling	Reactome	R-HSA-5676590	ENSG00000166167; ENSG00000104856; ENSG00000077150	5971; 8945; 4791	8	8
0.000718979497998	0.0507679412198	Colorectal cancer - Homo sapiens (human)	KEGG	path:hsa05210	ENSG00000198793; ENSG00000134574; ENSG00000116062; ENSG00000166949; ENSG00000134982; ENSG00000145675; ENSG00000132155; ENSG00000051382	1643; 5291; 5295; 5894; 2956; 324; 2475; 4088	86	86
0.000902805281085	0.0533203610504	Retinoblastoma Gene in Cancer	Wikipathways	WP2446	ENSG00000097007; ENSG00000112242; ENSG00000117748; ENSG00000116062; ENSG00000160310; ENSG00000228716; ENSG00000136824; ENSG00000132155	2956; 25; 10592; 3275; 1719; 1871; 5894; 6118	89	89
0.00090314345679	0.0533203610504	DNA Repair	Reactome	R-HSA-73894	ENSG00000187790; ENSG00000097007; ENSG00000134574; ENSG00000138303; ENSG00000128731; ENSG00000108384; ENSG00000113522; ENSG00000227345; ENSG00000100823; ENSG00000012048; ENSG00000197299; ENSG00000117748; ENSG00000154328; ENSG00000116062; ENSG00000198924; ENSG00000047315; ENSG00000152942	1643; 6118; 51008; 9937; 641; 5884; 25; 57697; 10111; 328; 5889; 672; 5431; 8924; 252969; 2956; 8505	320	317
0.000931367223336	0.0533203610504	ATM pathway	PID	atm_pathway	ENSG00000012048; ENSG00000197299; ENSG00000113522; ENSG00000152942; ENSG00000097007	672; 25; 5884; 10111; 641	34	34
0.000971829009309	0.0533203610504	Protein digestion and absorption - Homo sapiens (human)	KEGG	path:hsa04974	ENSG00000204291; ENSG00000092758; ENSG00000134871; ENSG00000163399; ENSG00000143153; ENSG00000129244; ENSG00000111799; ENSG00000066230	1284; 1299; 1303; 1306; 6550; 476; 481; 482	90	90
0.000976259437333	0.0533203610504	Mineral absorption - Homo sapiens (human)	KEGG	path:hsa04978	ENSG00000163399; ENSG00000147804; ENSG00000143153; ENSG00000129244; ENSG00000136868; ENSG00000066230	6550; 1317; 55630; 476; 481; 482	51	51
0.00103596100802	0.0533203610504	Insulin Signaling	Wikipathways	WP481	ENSG00000198793; ENSG00000071242; ENSG00000004777; ENSG00000166592; ENSG00000051382; ENSG00000145675; ENSG00000160999; ENSG00000109458; ENSG00000143761; ENSG00000132155; ENSG00000100219	375; 2475; 2549; 10603; 7494; 5295; 5894; 6196; 5291; 115703; 6236	160	160
0.00106674203021	0.0533203610504	HGF	INOH	None	ENSG00000145675; ENSG00000132155; ENSG00000051382; ENSG00000109458; ENSG00000019991	2549; 5894; 3082; 5291; 5295	35	35
0.00109073909308	0.0533203610504	Alpha6Beta4Integrin	NetPath	Pathway_Alpha6Beta4Integrin	ENSG00000097007; ENSG00000198793; ENSG00000096696; ENSG00000051382; ENSG00000109458; ENSG00000145675; ENSG00000166949	2549; 5291; 4088; 25; 1832; 2475; 5295	71	71
0.00122313332963	0.0574405938771	Circadian Clock	Wikipathways	WP1797	ENSG00000109189; ENSG00000133794; ENSG00000132326	64854; 8864; 406	10	10
