p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.83093982209e-12	2.35935674743e-09	Interferon Signaling	Reactome	R-HSA-913531	ENSG00000162654; ENSG00000165949; ENSG00000223865; ENSG00000206503; ENSG00000111335; ENSG00000119917; ENSG00000134321; ENSG00000231389; ENSG00000135114; ENSG00000185745; ENSG00000234745; ENSG00000117228; ENSG00000101347; ENSG00000184979; ENSG00000119922; ENSG00000117226; ENSG00000134253; ENSG00000182179; ENSG00000187608; ENSG00000132530; ENSG00000157601; ENSG00000204525	9636; 3106; 3434; 3433; 4599; 54739; 3113; 8638; 3107; 3429; 11274; 115361; 2635; 7318; 25939; 80263; 91543; 3105; 2633; 3115; 3437; 4939	158	158
4.64897881267e-12	2.35935674743e-09	Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	ENSG00000185745; ENSG00000117461; ENSG00000165949; ENSG00000223865; ENSG00000090376; ENSG00000206503; ENSG00000006016; ENSG00000111335; ENSG00000119917; ENSG00000126561; ENSG00000168811; ENSG00000008517; ENSG00000134321; ENSG00000019991; ENSG00000231389; ENSG00000108984; ENSG00000157368; ENSG00000135114; ENSG00000173432; ENSG00000186891; ENSG00000137070; ENSG00000162654; ENSG00000234745; ENSG00000215788; ENSG00000117228; ENSG00000101347; ENSG00000184979; ENSG00000119922; ENSG00000117226; ENSG00000134253; ENSG00000071242; ENSG00000182179; ENSG00000187608; ENSG00000132530; ENSG00000157601; ENSG00000114737; ENSG00000204525	6776; 6288; 3106; 11274; 80263; 8784; 8503; 3592; 3437; 115361; 3433; 2633; 8638; 2635; 7318; 9244; 91543; 3105; 4599; 9235; 9636; 8718; 3107; 3082; 25939; 3434; 3590; 11213; 54739; 3113; 3429; 5608; 1154; 3115; 6196; 146433; 4939	458	458
2.00058356869e-11	6.76864107408e-09	Interferon alpha/beta signaling	Reactome	R-HSA-909733	ENSG00000185745; ENSG00000234745; ENSG00000134321; ENSG00000165949; ENSG00000187608; ENSG00000206503; ENSG00000101347; ENSG00000132530; ENSG00000119917; ENSG00000157601; ENSG00000184979; ENSG00000111335; ENSG00000135114; ENSG00000204525; ENSG00000119922	3105; 54739; 9636; 8638; 3434; 3433; 3107; 3429; 91543; 3106; 11274; 3437; 25939; 4599; 4939	70	70
1.06145131498e-09	2.69343271177e-07	Metabolism	Reactome	R-HSA-1430728	ENSG00000176974; ENSG00000117461; ENSG00000168528; ENSG00000134202; ENSG00000131473; ENSG00000129596; ENSG00000085563; ENSG00000105655; ENSG00000169710; ENSG00000197296; ENSG00000169738; ENSG00000135821; ENSG00000124588; ENSG00000186951; ENSG00000142657; ENSG00000170509; ENSG00000134201; ENSG00000187134; ENSG00000068976; ENSG00000103485; ENSG00000181019; ENSG00000145476; ENSG00000145020; ENSG00000070669; ENSG00000184227; ENSG00000170522; ENSG00000132541; ENSG00000100075; ENSG00000151726; ENSG00000100033; ENSG00000116133; ENSG00000140465; ENSG00000176894; ENSG00000106258; ENSG00000108602; ENSG00000100889; ENSG00000135069; ENSG00000162882; ENSG00000100197; ENSG00000103415; ENSG00000188157; ENSG00000196616; ENSG00000105607; ENSG00000138356; ENSG00000081760; ENSG00000185813; ENSG00000161267; ENSG00000165996; ENSG00000006625; ENSG00000011198; ENSG00000138074; ENSG00000173599; ENSG00000101347; ENSG00000133835; ENSG00000104812; ENSG00000213648; ENSG00000149485; ENSG00000168237; ENSG00000119711; ENSG00000127920; ENSG00000105499; ENSG00000185133; ENSG00000179593; ENSG00000188783; ENSG00000099194; ENSG00000143850; ENSG00000198585; ENSG00000099984; ENSG00000063438; ENSG00000134324; ENSG00000144645; ENSG00000213366; ENSG00000149084; ENSG00000065833; ENSG00000157193; ENSG00000160200; ENSG00000130005; ENSG00000169255; ENSG00000150768; ENSG00000008311; ENSG00000135318; ENSG00000077616	114884; 275; 1577; 622; 1728; 2194; 8503; 2946; 10247; 4907; 1036; 23498; 1645; 5833; 375790; 131870; 79017; 1718; 1543; 641371; 47; 445329; 65985; 8884; 875; 2949; 2997; 51477; 5106; 4329; 6470; 25939; 218; 10003; 247; 5243; 5465; 125; 27124; 2180; 2639; 1565; 22874; 8605; 6319; 5091; 3295; 5549; 3163; 9200; 5625; 8706; 2752; 5837; 57491; 4835; 5827; 51181; 4199; 1737; 23475; 285440; 345275; 316; 132158; 6576; 51144; 2593; 7804; 79071; 2791; 51099; 440; 10157; 2953; 5226; 2947; 128486; 23175; 3992; 347735; 29968	1972	1954
5.50314230536e-09	1.11713788799e-06	Nuclear Receptors Meta-Pathway	Wikipathways	WP2882	ENSG00000145632; ENSG00000085563; ENSG00000147804; ENSG00000186951; ENSG00000142657; ENSG00000134201; ENSG00000133195; ENSG00000181019; ENSG00000134202; ENSG00000168811; ENSG00000019991; ENSG00000117592; ENSG00000140465; ENSG00000106258; ENSG00000169710; ENSG00000096060; ENSG00000065833; ENSG00000108602; ENSG00000138074; ENSG00000211445; ENSG00000099194; ENSG00000104635; ENSG00000099984; ENSG00000164056; ENSG00000063438; ENSG00000213366	218; 201266; 9588; 1543; 4199; 5465; 8884; 2289; 55630; 1728; 5243; 3592; 2194; 10252; 3082; 2953; 5226; 2946; 2947; 2949; 6319; 10769; 23516; 2878; 57491; 1577	316	315
7.29759058269e-09	1.23450907357e-06	Interferon alpha-beta signaling	Wikipathways	WP1835	ENSG00000185745; ENSG00000134321; ENSG00000165949; ENSG00000187608; ENSG00000101347; ENSG00000132530; ENSG00000119922; ENSG00000119917	3429; 3433; 3434; 3437; 25939; 54739; 91543; 9636	21	21
4.65322116602e-07	6.74717069074e-05	NRF2 pathway	Wikipathways	WP2884	ENSG00000065833; ENSG00000099984; ENSG00000019991; ENSG00000108602; ENSG00000213366; ENSG00000147804; ENSG00000138074; ENSG00000133195; ENSG00000211445; ENSG00000142657; ENSG00000117592; ENSG00000134201; ENSG00000134202; ENSG00000104635; ENSG00000181019	218; 8884; 4199; 1728; 3082; 9588; 2953; 5226; 2949; 2947; 2946; 55630; 23516; 2878; 201266	142	142
1.27122540555e-06	0.000148742674426	Fatty acyl-CoA biosynthesis	Reactome	R-HSA-75105	ENSG00000099194; ENSG00000131473; ENSG00000151726; ENSG00000169710; ENSG00000165996; ENSG00000100075; ENSG00000149084; ENSG00000170522	2180; 9200; 79071; 6576; 51144; 47; 6319; 2194	38	38
1.31890056142e-06	0.000148742674426	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	KEGG	path:hsa01040	ENSG00000099194; ENSG00000133835; ENSG00000149485; ENSG00000165996; ENSG00000184227; ENSG00000149084; ENSG00000170522	3992; 6319; 79071; 51144; 641371; 3295; 9200	27	27
4.30166385442e-06	0.000436618881224	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	KEGG	path:hsa00980	ENSG00000100197; ENSG00000187134; ENSG00000099984; ENSG00000108602; ENSG00000213366; ENSG00000140465; ENSG00000106258; ENSG00000196616; ENSG00000134201; ENSG00000134202	2946; 2947; 2949; 1543; 218; 1565; 1577; 2953; 1645; 125	76	74
