p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
9.32794554696e-07	0.000468262866457	Pancreatic secretion - Homo sapiens (human)	KEGG	path:hsa04972	ENSG00000168925; ENSG00000142789; ENSG00000091704; ENSG00000219073; ENSG00000175535; ENSG00000170890; ENSG00000153002; ENSG00000215704; ENSG00000142615; ENSG00000243480	63036; 5319; 279; 5406; 1504; 1357; 1360; 51032; 23436; 10136	96	96
3.79224095557e-05	0.00868585623396	Protein digestion and absorption - Homo sapiens (human)	KEGG	path:hsa04974	ENSG00000168925; ENSG00000142789; ENSG00000091704; ENSG00000219073; ENSG00000196739; ENSG00000153002; ENSG00000215704; ENSG00000142615	51032; 63036; 85301; 1504; 1360; 23436; 10136; 1357	90	90
6.0129511451e-05	0.00868585623396	Malaria - Homo sapiens (human)	KEGG	path:hsa05144	ENSG00000206172; ENSG00000168811; ENSG00000244734; ENSG00000188536; ENSG00000019991; ENSG00000162692	3592; 3082; 3039; 3040; 3043; 7412	49	49
8.95608838908e-05	0.00868585623396	Metabolism of steroid hormones	Reactome	R-HSA-196071	ENSG00000135346; ENSG00000160882; ENSG00000148795; ENSG00000005379; ENSG00000147465	1586; 9256; 6770; 1081; 1584	33	33
8.95608838908e-05	0.00868585623396	Oxidative Stress	Wikipathways	WP408	ENSG00000140465; ENSG00000211445; ENSG00000198431; ENSG00000099984; ENSG00000100292	3162; 1543; 7296; 2878; 2953	33	33
0.000103815014748	0.00868585623396	African trypanosomiasis - Homo sapiens (human)	KEGG	path:hsa05143	ENSG00000206172; ENSG00000168811; ENSG00000244734; ENSG00000188536; ENSG00000162692	3592; 3039; 3040; 3043; 7412	35	34
0.000145507711066	0.010434981565	Nuclear Receptors Meta-Pathway	Wikipathways	WP2882	ENSG00000168811; ENSG00000099194; ENSG00000184588; ENSG00000103257; ENSG00000164056; ENSG00000019991; ENSG00000213366; ENSG00000198431; ENSG00000100292; ENSG00000140465; ENSG00000211445; ENSG00000134107; ENSG00000134201; ENSG00000099984	1543; 8140; 5142; 3592; 10252; 3162; 3082; 7296; 2953; 2946; 2949; 6319; 2878; 8553	316	315
0.00019650704463	0.0114045869308	Interleukin-12 family signaling	Wikipathways	WP4052	ENSG00000168811; ENSG00000105246	3592; 10148	2	2
0.000215612023623	0.0114045869308	Erythrocytes take up oxygen and release carbon dioxide	Reactome	R-HSA-1247673	ENSG00000206172; ENSG00000244734; ENSG00000188536	3043; 3040; 3039	9	9
0.000266476684583	0.0114045869308	Metabolism of amino acids and derivatives	Reactome	R-HSA-71291	ENSG00000233927; ENSG00000160282; ENSG00000135346; ENSG00000103257; ENSG00000100033; ENSG00000198431; ENSG00000123453; ENSG00000008311; ENSG00000070669; ENSG00000146733; ENSG00000130005; ENSG00000135069; ENSG00000166741; ENSG00000163682	6133; 4837; 2593; 1757; 6234; 440; 5625; 10157; 1081; 5723; 7296; 8140; 29968; 10841	342	334
0.000324245514913	0.0114045869308	Steroid hormones	Reactome	R-HSA-209943	ENSG00000135346; ENSG00000160882; ENSG00000148795; ENSG00000005379; ENSG00000147465	1586; 9256; 6770; 1081; 1584	43	43
0.00042213353258	0.0114045869308	Metabolism of steroids	Reactome	R-HSA-8957322	ENSG00000160882; ENSG00000099194; ENSG00000187134; ENSG00000147465; ENSG00000132196; ENSG00000148795; ENSG00000135346; ENSG00000005379	6770; 51478; 6319; 1645; 1081; 9256; 1586; 1584	127	127
0.000443270238628	0.0114045869308	Vitamin B9 (folate) metabolism	EHMN	Vitamin B9 (folate) metabolism	ENSG00000182902; ENSG00000120254; ENSG00000160282; ENSG00000136371	25902; 10588; 83733; 10841	26	26
0.000514688056648	0.0114045869308	3-Phosphoglycerate dehydrogenase deficiency	SMPDB	SMP00721	ENSG00000123453; ENSG00000130005; ENSG00000146733; ENSG00000135069	1757; 2593; 29968; 5723	27	27
0.000514688056648	0.0114045869308	Non Ketotic Hyperglycinemia	SMPDB	SMP00223	ENSG00000123453; ENSG00000130005; ENSG00000146733; ENSG00000135069	1757; 2593; 29968; 5723	27	27
0.000514688056648	0.0114045869308	Glycine and Serine Metabolism	SMPDB	SMP00004	ENSG00000123453; ENSG00000130005; ENSG00000146733; ENSG00000135069	1757; 2593; 29968; 5723	27	27
0.000514688056648	0.0114045869308	Dimethylglycine Dehydrogenase Deficiency	SMPDB	SMP00484	ENSG00000123453; ENSG00000130005; ENSG00000146733; ENSG00000135069	1757; 2593; 29968; 5723	27	27
0.000514688056648	0.0114045869308	Hyperglycinemia, non-ketotic	SMPDB	SMP00485	ENSG00000123453; ENSG00000130005; ENSG00000146733; ENSG00000135069	1757; 2593; 29968; 5723	27	27
