p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
5.29231820007e-11	5.65219583767e-08	Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	ENSG00000125347; ENSG00000162645; ENSG00000172183; ENSG00000259384; ENSG00000108342; ENSG00000127191; ENSG00000204642; ENSG00000026508; ENSG00000071242; ENSG00000019991; ENSG00000145675; ENSG00000179583; ENSG00000157368; ENSG00000137752; ENSG00000168610; ENSG00000077150; ENSG00000132274; ENSG00000090339; ENSG00000104856; ENSG00000215788; ENSG00000077238; ENSG00000206341; ENSG00000117228; ENSG00000008517; ENSG00000102524; ENSG00000128342; ENSG00000196083; ENSG00000185507; ENSG00000182179; ENSG00000157601; ENSG00000114737; ENSG00000166949; ENSG00000134070	3976; 3134; 3665; 834; 10346; 3566; 960; 3656; 2633; 4088; 7318; 4599; 6774; 9235; 7186; 2688; 10673; 8718; 3082; 3136; 3383; 3556; 3669; 4261; 1440; 5295; 3659; 5971; 1154; 2634; 6196; 146433; 4791	458	458
2.94520145097e-06	0.00157273757482	Immune System	Reactome	R-HSA-168256	ENSG00000125347; ENSG00000120696; ENSG00000162645; ENSG00000123610; ENSG00000079385; ENSG00000115523; ENSG00000148346; ENSG00000110042; ENSG00000259384; ENSG00000108342; ENSG00000122861; ENSG00000183763; ENSG00000127191; ENSG00000172794; ENSG00000163739; ENSG00000162688; ENSG00000204642; ENSG00000105376; ENSG00000118804; ENSG00000185432; ENSG00000179583; ENSG00000121691; ENSG00000106976; ENSG00000071242; ENSG00000019991; ENSG00000145675; ENSG00000035403; ENSG00000011028; ENSG00000163661; ENSG00000157368; ENSG00000089041; ENSG00000137752; ENSG00000168610; ENSG00000172183; ENSG00000077150; ENSG00000132274; ENSG00000090339; ENSG00000138641; ENSG00000104856; ENSG00000215788; ENSG00000158270; ENSG00000206341; ENSG00000117228; ENSG00000026508; ENSG00000114737; ENSG00000102524; ENSG00000239839; ENSG00000128342; ENSG00000077238; ENSG00000168394; ENSG00000196083; ENSG00000185507; ENSG00000182179; ENSG00000008517; ENSG00000096696; ENSG00000142748; ENSG00000160223; ENSG00000157601; ENSG00000197361; ENSG00000176919; ENSG00000166949; ENSG00000134070	23308; 3134; 847; 10346; 283807; 834; 1832; 10293; 23220; 1759; 10673; 10578; 81035; 2919; 4261; 2634; 3976; 3082; 3665; 634; 960; 3659; 733; 7087; 4088; 3556; 5328; 9902; 178; 84078; 146433; 8916; 25840; 3566; 3656; 7318; 6774; 7186; 326624; 8987; 1668; 3669; 8547; 5971; 1154; 9235; 1440; 6196; 5027; 2633; 8718; 4599; 2688; 7130; 3934; 6890; 3136; 3383; 5806; 5295; 7414; 4791	1840	1816
6.78216181754e-06	0.00193186362255	Interleukin-10 signaling	Wikipathways	WP4063	ENSG00000108691; ENSG00000090339; ENSG00000169429; ENSG00000169245; ENSG00000108342; ENSG00000163739; ENSG00000128342	3383; 6347; 3576; 3976; 2919; 1440; 3627	38	38
9.28022644204e-06	0.00193186362255	Regulation of pyruvate dehydrogenase (PDH) complex	Reactome	R-HSA-204174	ENSG00000112033; ENSG00000090857; ENSG00000164951; ENSG00000150768; ENSG00000004799	5166; 54704; 55066; 5467; 1737	16	16
1.09596908277e-05	0.00193186362255	Nuclear Receptors Meta-Pathway	Wikipathways	WP2882	ENSG00000108691; ENSG00000184588; ENSG00000196502; ENSG00000103257; ENSG00000019991; ENSG00000138061; ENSG00000167772; ENSG00000158292; ENSG00000147804; ENSG00000095203; ENSG00000110090; ENSG00000134107; ENSG00000157184; ENSG00000151229; ENSG00000112033; ENSG00000168610; ENSG00000004799; ENSG00000134202; ENSG00000077150	114134; 5467; 1374; 1376; 8140; 5142; 55630; 1545; 6774; 4791; 3082; 54566; 51129; 387509; 6817; 2947; 6347; 5166; 8553	316	315
1.1227005526e-05	0.00193186362255	Interferon Signaling	Reactome	R-HSA-913531	ENSG00000125347; ENSG00000162645; ENSG00000179583; ENSG00000185507; ENSG00000182179; ENSG00000172183; ENSG00000206341; ENSG00000117228; ENSG00000026508; ENSG00000157601; ENSG00000090339; ENSG00000204642; ENSG00000132274	3134; 3669; 4599; 4261; 3665; 7318; 10346; 3136; 3383; 2634; 2633; 960; 3659	158	158
1.26620274886e-05	0.00193186362255	Interferon gamma signaling	Reactome	R-HSA-877300	ENSG00000125347; ENSG00000162645; ENSG00000179583; ENSG00000185507; ENSG00000206341; ENSG00000117228; ENSG00000026508; ENSG00000090339; ENSG00000204642; ENSG00000132274	3134; 4261; 3665; 10346; 3136; 3383; 2634; 2633; 960; 3659	94	94
2.1745361599e-05	0.00290300577347	Signaling by Retinoic Acid	Reactome	R-HSA-5362517	ENSG00000112033; ENSG00000165092; ENSG00000110090; ENSG00000184254; ENSG00000150768; ENSG00000172819; ENSG00000004799	5166; 216; 220; 5467; 1737; 1374; 5916	45	45
2.66010861434e-05	0.00315666222235	Integrin	INOH	None	ENSG00000204291; ENSG00000092758; ENSG00000204248; ENSG00000026508; ENSG00000188157; ENSG00000171812; ENSG00000259207; ENSG00000139329; ENSG00000111799; ENSG00000035403; ENSG00000168477	1306; 7148; 1299; 1302; 4060; 3690; 375790; 7414; 1296; 960; 1303	124	124
6.71450102407e-05	0.0071710870937	Type II interferon signaling (IFNG)	Wikipathways	WP619	ENSG00000125347; ENSG00000179583; ENSG00000090339; ENSG00000169245; ENSG00000117228; ENSG00000168394	4261; 2633; 6890; 3659; 3383; 3627	37	37
