p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.000119436101256	0.0118703206015	&beta;-alanine degradation	HumanCyc	BETA-ALA-DEGRADATION-I-PWY	ENSG00000183044; ENSG00000119711	18; 4329	2	2
0.000200005061147	0.0118703206015	3-Phosphoglycerate dehydrogenase deficiency	SMPDB	SMP00721	ENSG00000145020; ENSG00000160200; ENSG00000146733; ENSG00000130005	275; 2593; 5723; 875	27	27
0.000200005061147	0.0118703206015	Non Ketotic Hyperglycinemia	SMPDB	SMP00223	ENSG00000145020; ENSG00000160200; ENSG00000146733; ENSG00000130005	275; 2593; 5723; 875	27	27
0.000200005061147	0.0118703206015	Glycine and Serine Metabolism	SMPDB	SMP00004	ENSG00000145020; ENSG00000160200; ENSG00000146733; ENSG00000130005	275; 2593; 5723; 875	27	27
0.000200005061147	0.0118703206015	Dimethylglycine Dehydrogenase Deficiency	SMPDB	SMP00484	ENSG00000145020; ENSG00000160200; ENSG00000146733; ENSG00000130005	275; 2593; 5723; 875	27	27
0.000200005061147	0.0118703206015	Hyperglycinemia, non-ketotic	SMPDB	SMP00485	ENSG00000145020; ENSG00000160200; ENSG00000146733; ENSG00000130005	275; 2593; 5723; 875	27	27
0.000200005061147	0.0118703206015	Dimethylglycine Dehydrogenase Deficiency	SMPDB	SMP00242	ENSG00000145020; ENSG00000160200; ENSG00000146733; ENSG00000130005	275; 2593; 5723; 875	27	27
0.000200005061147	0.0118703206015	Sarcosinemia	SMPDB	SMP00244	ENSG00000145020; ENSG00000160200; ENSG00000146733; ENSG00000130005	275; 2593; 5723; 875	27	27
0.000200005061147	0.0118703206015	Dihydropyrimidine Dehydrogenase Deficiency (DHPD)	SMPDB	SMP00179	ENSG00000145020; ENSG00000160200; ENSG00000146733; ENSG00000130005	275; 2593; 5723; 875	27	27
0.000215824010936	0.0118703206015	Metabolism	Reactome	R-HSA-1430728	ENSG00000148344; ENSG00000243678; ENSG00000139329; ENSG00000111664; ENSG00000106086; ENSG00000148154; ENSG00000142920; ENSG00000145020; ENSG00000166741; ENSG00000186281; ENSG00000166428; ENSG00000118520; ENSG00000146733; ENSG00000124588; ENSG00000106305; ENSG00000120254; ENSG00000105655; ENSG00000162882; ENSG00000124217; ENSG00000105499; ENSG00000196502; ENSG00000138356; ENSG00000117479; ENSG00000185813; ENSG00000130005; ENSG00000138030; ENSG00000145675; ENSG00000119711; ENSG00000005379; ENSG00000198585; ENSG00000164237; ENSG00000063438; ENSG00000213366; ENSG00000070669; ENSG00000160200; ENSG00000114770; ENSG00000077616; ENSG00000188257	4831; 275; 150763; 2946; 10057; 3795; 23498; 10560; 122618; 5833; 131870; 2784; 134147; 27304; 113451; 5320; 9256; 875; 51477; 4329; 84725; 7965; 10003; 8605; 9536; 7357; 57491; 4835; 5723; 383; 316; 4837; 2593; 6817; 4060; 440; 5295; 25902	1972	1954
0.000308208441494	0.0154104220747	Metabolism of amino acids and derivatives	Reactome	R-HSA-71291	ENSG00000145020; ENSG00000077616; ENSG00000118520; ENSG00000106305; ENSG00000070669; ENSG00000160200; ENSG00000146733; ENSG00000130005; ENSG00000119711; ENSG00000166741; ENSG00000142920; ENSG00000162882	275; 4837; 2593; 113451; 875; 440; 4329; 5723; 383; 7965; 23498; 10003	342	334
0.000346595276407	0.0158856168353	Trans-sulfuration and one carbon metabolism	Wikipathways	WP2525	ENSG00000145020; ENSG00000160200; ENSG00000120254; ENSG00000146733	275; 25902; 875; 5723	31	31
0.000932679544701	0.0394595191989	Glycine, serine and threonine metabolism - Homo sapiens (human)	KEGG	path:hsa00260	ENSG00000145020; ENSG00000160200; ENSG00000146733; ENSG00000130005	275; 2593; 5723; 875	40	40
0.00194732832872	0.0584340461476	induction of apoptosis through dr3 and dr4/5 death receptors	BioCarta	deathpathway	ENSG00000143632; ENSG00000215788; ENSG00000127191	8718; 58; 7186	23	23
0.00194732832872	0.0584340461476	Signaling events mediated by the Hedgehog family	PID	hedgehog_2pathway	ENSG00000145675; ENSG00000054392; ENSG00000117425	55733; 8643; 5295	23	23
0.00246602843363	0.0584340461476	Nuclear Receptors Meta-Pathway	Wikipathways	WP2882	ENSG00000185950; ENSG00000196517; ENSG00000184588; ENSG00000196502; ENSG00000063438; ENSG00000117479; ENSG00000213366; ENSG00000147804; ENSG00000114770; ENSG00000211445	10057; 5142; 55630; 6536; 10560; 8660; 2946; 6817; 2878; 57491	316	315
0.00311493364075	0.0584340461476	IL-7	NetPath	Pathway_IL-7	ENSG00000185950; ENSG00000145675; ENSG00000118689	8660; 5295; 2309	27	27
0.00408787939946	0.0584340461476	Carnosinuria, carnosinemia	SMPDB	SMP00493	ENSG00000183044; ENSG00000119711	18; 4329	9	9
0.00408787939946	0.0584340461476	Ureidopropionase deficiency	SMPDB	SMP00492	ENSG00000183044; ENSG00000119711	18; 4329	9	9
0.00408787939946	0.0584340461476	GABA-Transaminase Deficiency	SMPDB	SMP00351	ENSG00000183044; ENSG00000119711	18; 4329	9	9
0.00408787939946	0.0584340461476	Beta-Alanine Metabolism	SMPDB	SMP00007	ENSG00000183044; ENSG00000119711	18; 4329	9	9
0.00408787939946	0.0584340461476	PI3K/AKT activation	Reactome	R-HSA-198203	ENSG00000185950; ENSG00000145675	8660; 5295	9	9
0.00422128235917	0.0584340461476	3-Methylglutaconic Aciduria Type I	SMPDB	SMP00139	ENSG00000183044; ENSG00000138356; ENSG00000119711	18; 4329; 316	30	30
0.00422128235917	0.0584340461476	Valine, Leucine and Isoleucine Degradation	SMPDB	SMP00032	ENSG00000183044; ENSG00000138356; ENSG00000119711	18; 4329; 316	30	30
0.00422128235917	0.0584340461476	2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency	SMPDB	SMP00137	ENSG00000183044; ENSG00000138356; ENSG00000119711	18; 4329; 316	30	30
0.00422128235917	0.0584340461476	Isovaleric Aciduria	SMPDB	SMP00238	ENSG00000183044; ENSG00000138356; ENSG00000119711	18; 4329; 316	30	30
0.00422128235917	0.0584340461476	3-Methylcrotonyl Coa Carboxylase Deficiency Type I	SMPDB	SMP00237	ENSG00000183044; ENSG00000138356; ENSG00000119711	18; 4329; 316	30	30
0.00422128235917	0.0584340461476	Propionic Acidemia	SMPDB	SMP00236	ENSG00000183044; ENSG00000138356; ENSG00000119711	18; 4329; 316	30	30
0.00422128235917	0.0584340461476	Maple Syrup Urine Disease	SMPDB	SMP00199	ENSG00000183044; ENSG00000138356; ENSG00000119711	18; 4329; 316	30	30
0.00422128235917	0.0584340461476	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	SMPDB	SMP00138	ENSG00000183044; ENSG00000138356; ENSG00000119711	18; 4329; 316	30	30
0.00422128235917	0.0584340461476	Isobutyryl-coa dehydrogenase deficiency	SMPDB	SMP00523	ENSG00000183044; ENSG00000138356; ENSG00000119711	18; 4329; 316	30	30
0.00422128235917	0.0584340461476	3-hydroxyisobutyric aciduria	SMPDB	SMP00522	ENSG00000183044; ENSG00000138356; ENSG00000119711	18; 4329; 316	30	30
0.00422128235917	0.0584340461476	3-hydroxyisobutyric acid dehydrogenase deficiency	SMPDB	SMP00521	ENSG00000183044; ENSG00000138356; ENSG00000119711	18; 4329; 316	30	30
0.00422128235917	0.0584340461476	Isovaleric acidemia	SMPDB	SMP00524	ENSG00000183044; ENSG00000138356; ENSG00000119711	18; 4329; 316	30	30
0.00422128235917	0.0584340461476	Methylmalonate Semialdehyde Dehydrogenase Deficiency	SMPDB	SMP00384	ENSG00000183044; ENSG00000138356; ENSG00000119711	18; 4329; 316	30	30
0.00422128235917	0.0584340461476	Methylmalonic Aciduria	SMPDB	SMP00200	ENSG00000183044; ENSG00000138356; ENSG00000119711	18; 4329; 316	30	30
0.00422128235917	0.0584340461476	3-Methylglutaconic Aciduria Type IV	SMPDB	SMP00141	ENSG00000183044; ENSG00000138356; ENSG00000119711	18; 4329; 316	30	30
0.00422128235917	0.0584340461476	3-Methylglutaconic Aciduria Type III	SMPDB	SMP00140	ENSG00000183044; ENSG00000138356; ENSG00000119711	18; 4329; 316	30	30
0.00422128235917	0.0584340461476	Beta-Ketothiolase Deficiency	SMPDB	SMP00173	ENSG00000183044; ENSG00000138356; ENSG00000119711	18; 4329; 316	30	30
0.00424974881073	0.0584340461476	Glycerophospholipid metabolism - Homo sapiens (human)	KEGG	path:hsa00564	ENSG00000105499; ENSG00000185813; ENSG00000166428; ENSG00000186281; ENSG00000188257	5833; 5320; 150763; 122618; 8605	97	97
0.00463642740376	0.0621959773675	Folate metabolism	INOH	None	ENSG00000145020; ENSG00000120254; ENSG00000243678	25902; 4831; 275	31	31
0.00500654725008	0.0634428458095	Arachidonic acid metabolism - Homo sapiens (human)	KEGG	path:hsa00590	ENSG00000148344; ENSG00000211445; ENSG00000105499; ENSG00000188257	8605; 2878; 9536; 5320	63	63
0.00507323051675	0.0634428458095	Metabolism of ingested SeMet, Sec, MeSec into H2Se	Reactome	R-HSA-2408508	ENSG00000160200; ENSG00000166741	4837; 875	10	10
0.00507542766476	0.0634428458095	Thiopurine Pathway, Pharmacokinetics/Pharmacodynamics	PharmGKB	PA2040	ENSG00000138356; ENSG00000160200; ENSG00000114770	316; 10057; 875	32	32
0.00602646114976	0.0720555137472	Amino acid synthesis and interconversion (transamination)	Reactome	R-HSA-70614	ENSG00000070669; ENSG00000146733; ENSG00000077616	440; 5723; 10003	35	34
0.00602646114976	0.0720555137472	Melatonin metabolism and effects	Wikipathways	WP3298	ENSG00000049246; ENSG00000196502; ENSG00000133794	6817; 406; 8863	34	34
0.0073346126539	0.085761371118	Ammonia Recycling	SMPDB	SMP00009	ENSG00000070669; ENSG00000145020	440; 275	12	12
0.00748541203897	0.085761371118	Metabolism of water-soluble vitamins and cofactors	Reactome	R-HSA-196849	ENSG00000138356; ENSG00000117479; ENSG00000120254; ENSG00000166741; ENSG00000124217	25902; 10560; 27304; 4837; 316	114	111
0.00764055851778	0.085761371118	IL2 signaling events mediated by PI3K	PID	il2_pi3kpathway	ENSG00000145675; ENSG00000148154; ENSG00000118689	7357; 5295; 2309	37	37
0.00860622145562	0.0872664489852	valine degradation	HumanCyc	VALDEG-PWY	ENSG00000183044; ENSG00000119711	18; 4329	13	13
0.00860622145562	0.0872664489852	BMAL1:CLOCK,NPAS2 activates circadian gene expression	Reactome	R-HSA-1368108	ENSG00000105516; ENSG00000133794	1628; 406	13	13
0.00948660362477	0.0872664489852	Metabolism of polyamines	Reactome	R-HSA-351202	ENSG00000130005; ENSG00000142920; ENSG00000118520	2593; 383; 113451	40	40
0.00973699393871	0.0872664489852	Phospholipid metabolism	Reactome	R-HSA-1483257	ENSG00000105499; ENSG00000185813; ENSG00000166428; ENSG00000106086; ENSG00000145675; ENSG00000186281; ENSG00000188257	150763; 5295; 122618; 8605; 5833; 84725; 5320	216	216
0.00996888767154	0.0872664489852	Hypoacetylaspartia	SMPDB	SMP00192	ENSG00000183044; ENSG00000070669	18; 440	14	14
0.00996888767154	0.0872664489852	Aspartate Metabolism	SMPDB	SMP00067	ENSG00000183044; ENSG00000070669	18; 440	14	14
