p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
5.93498800371e-21	1.13655020271e-17	Interferon Signaling	Reactome	R-HSA-913531	HLA-H; MT2A; HLA-DPB1; HLA-C; HLA-B; IFI27; MX2; MX1; UBE2L6; IFNAR1; IFNGR1; IFIT3; IFIT2; IFIT1; DDX58; TRIM45; PPM1B; STAT1; RSAD2; OAS3; OAS2; ISG15; ICAM1; GBP2; HLA-DQB1; HLA-A; IFITM3; IFITM2; IFITM1; GBP3; HLA-G; GBP1; HLA-DRB1; OASL; GBP4; UBA7; SAMHD1; PTPN1; HLA-DRB5; IFNAR2; XAF1; IRF7; SOCS3; IFI6; IRF9; RNASEL; BST2; HLA-DPA1; EIF4A1	9636; 3106; 3434; 5495; 684; 5770; 3433; 8519; 4599; 3127; 54739; 9246; 3113; 6772; 4600; 8638; 3107; 3429; 3665; 4940; 115361; 3123; 2635; 7318; 25939; 80263; 3136; 3455; 9021; 91543; 23586; 10581; 3119; 3383; 3105; 3135; 2634; 3459; 6041; 10379; 2633; 1973; 3115; 2537; 3437; 3454; 10410; 4939; 4502	158	158
5.96031029064e-20	5.70699710329e-17	Interferon alpha/beta signaling	Reactome	R-HSA-909733	HLA-H; HLA-C; HLA-B; HLA-A; HLA-G; MX1; IFNAR2; IFNAR1; IFIT3; RSAD2; IFIT1; STAT1; IFIT2; OAS3; OAS2; ISG15; GBP2; IFI27; IFITM3; IFITM2; IFITM1; MX2; OASL; SAMHD1; PTPN1; XAF1; IRF7; SOCS3; IFI6; IRF9; RNASEL; BST2	3105; 4600; 3665; 54739; 3135; 9021; 6772; 6041; 9636; 8638; 3434; 10379; 3433; 3107; 3136; 684; 3429; 3455; 2634; 91543; 3106; 2537; 4940; 3437; 25939; 8519; 4599; 3454; 10410; 4939; 5770; 10581	70	70
2.88688307166e-14	1.84279369408e-11	Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	HLA-H; MT2A; CISH; HLA-DPB1; HLA-C; HLA-B; HLA-A; NFKBIA; HLA-G; TRAF2; MX1; IFNAR2; IL1R2; IFNAR1; IFNGR1; CD40; S100A12; IFIT3; MAPKAPK2; IL1R1; SHC1; RSAD2; DDX58; STAT3; PPM1B; STAT1; IL18BP; GBP4; IFIT2; IL18R1; OAS3; OAS2; NOD1; IFIT1; ICAM1; GBP2; ISG15; RELA; RNASEL; JAK3; IFITM3; IFITM2; IFITM1; HLA-DQB1; IL4R; GBP3; MX2; GBP1; HLA-DRB1; OASL; HLA-DRB5; TNIP2; UBA7; IFI27; IL32; IRAK3; SAMHD1; PTPN1; TRIM45; NFKB2; UBE2L6; XAF1; IRF7; GH1; SOCS3; TNFRSF1A; IFI6; EIF4A1; IRF9; CASP1; RELB; CSF3; IL6; BST2; HLA-DPA1; IL15RA	10068; 3601; 5495; 3106; 684; 8519; 3127; 7132; 3665; 4940; 4792; 834; 9261; 80263; 3566; 3455; 23586; 6041; 10379; 2537; 3437; 10410; 115361; 3433; 6283; 2633; 6772; 8638; 3123; 2635; 7318; 10392; 91543; 3105; 3135; 5970; 3554; 4599; 6774; 9235; 7186; 4502; 2688; 9636; 5770; 9246; 4600; 958; 3107; 25939; 3136; 3434; 9021; 8809; 10581; 3119; 3383; 3569; 11213; 3454; 6464; 54739; 3113; 1440; 3718; 3429; 5971; 1154; 2634; 3459; 1973; 3115; 79155; 7850; 4939; 4791	458	458
5.82361645274e-14	2.78805637675e-11	Interferon alpha-beta signaling	Wikipathways	WP1835	IFITM3; IFITM2; XAF1; SAMHD1; IFI6; GBP2; IFI27; IFITM1; RNASEL; ISG15; BST2; RSAD2; IFIT3; IFIT2; IFIT1	3429; 10410; 2634; 2537; 3433; 3434; 3437; 10581; 6041; 25939; 54739; 91543; 684; 8519; 9636	21	21
1.23175472973e-11	4.71762061486e-09	Herpes simplex infection - Homo sapiens (human)	KEGG	path:hsa05168	TAP1; IFIH1; TAP2; HMGN1; HLA-DPB1; HLA-C; HLA-B; HLA-A; NFKBIA; HLA-G; IFNAR2; IFNAR1; IFNGR1; IFIT1; ARNTL; IL6; DDX58; STAT1; PILRA; OAS3; OAS2; HLA-DQB1; RELA; RNASEL; TRAF1; TRAF2; NXF1; HLA-DRB1; HLA-DRB5; PER3; PER2; IRF7; SOCS3; TNFRSF1A; IRF9; TLR2; CDK2; HLA-DOB; HLA-DPA1; MAVS	7185; 7186; 3105; 23586; 3112; 3113; 3115; 3119; 3123; 3127; 3135; 3665; 3106; 6772; 64135; 10379; 8863; 8864; 57506; 4792; 3107; 6890; 10482; 3459; 29992; 9021; 4939; 4940; 5970; 3434; 3454; 3455; 6891; 406; 6041; 7097; 3150; 7132; 3569; 1017	185	185
4.06826719556e-11	1.29845527992e-08	Epstein-Barr virus infection - Homo sapiens (human)	KEGG	path:hsa05169	TAP1; CALR; TAP2; HLA-C; HLA-B; HLA-A; NFKBIA; HLA-G; IFNAR2; IFNAR1; IL6; DDX58; STAT3; STAT1; GADD45B; OAS3; OAS2; HLA-DQB1; JAK3; ICAM1; RELB; NFKB2; CDKN1A; HLA-DPB1; TRAF2; HLA-DRB1; CD40; HLA-DRB5; ISG15; CXCL10; MYC; RELA; IRF7; IRF9; TLR2; CDK2; HLA-DOB; HLA-DPA1; MAVS; CCNA2; CCND3	4609; 1026; 4616; 3383; 7186; 3105; 23586; 3107; 3112; 3113; 3627; 3119; 3123; 3127; 3135; 3665; 6772; 6774; 3718; 10379; 57506; 4791; 4792; 3106; 6890; 6891; 896; 3115; 811; 4939; 4940; 5970; 5971; 890; 3454; 3455; 9636; 7097; 958; 1017; 3569	201	200
1.72140457273e-10	4.70927108112e-08	Interferon gamma signaling	Reactome	R-HSA-877300	HLA-H; MT2A; HLA-C; HLA-B; HLA-A; HLA-G; IFNGR1; STAT1; GBP4; OAS3; OAS2; HLA-DQB1; ICAM1; HLA-DPB1; GBP3; GBP2; GBP1; HLA-DRB1; OASL; HLA-DRB5; PTPN1; TRIM45; IRF7; SOCS3; IRF9; HLA-DPA1	5770; 3127; 3113; 6772; 8638; 3107; 4940; 115361; 3123; 2635; 3665; 80263; 3136; 9021; 3106; 3119; 3383; 3105; 3135; 2634; 3459; 10379; 2633; 3115; 4939; 4502	94	94
6.62483824921e-10	1.5858206559e-07	Immune System	Reactome	R-HSA-168256	TAP1; TAP2; DYNLL1; HSPA6; HSPA5; MAN2B1; IFI27; HSPA8; AGA; HBB; IFNAR2; IL1R2; IFNAR1; CHI3L1; S100A12; MICB; MICA; CPPED1; NHLRC3; SUGT1; VPS35L; GSDMD; CD177; LYZ; HSP90AB1; OAS3; OAS2; ISG15; RELA; METTL7A; C4A; IFITM3; IFITM2; IFITM1; RNASE2; SHC1; CTSO; FPR1; GNLY; HLA-DRB1; MUC7; OASL; HLA-DRB5; TNIP2; EIF4A1; SIGLEC10; SERPINB1; GH1; XAF1; SOCS3; NME2; CLEC2B; SLC2A3; SNAP29; CSF3; TLR2; BST2; MAVS; HGSNAT; NIT2; HLA-H; CGAS; HLA-C; HLA-B; HLA-A; NFKBIA; MX2; UBE2D3; HSP90B1; C1QB; UBE2L6; IFNGR1; ATP6V1E2; IFIT3; MAPKAPK2; IL1R1; KBTBD7; DDX58; C3AR1; PPM1B; SLC11A1; DEFA3; PILRA; PILRB; HLA-DQB1; JAK3; C4B; GBP2; GBP1; FCN3; FCN1; IL4R; GBP3; MRE11; ADA2; COLEC11; IL18R1; UBA7; HERC6; PTPN1; TRIM45; KLRG1; IRF7; STAT1; TNFRSF1A; CDC26; IRF9; NAPRT; SIRPB1; IL15RA; TRIM4; DTX3L; BTN3A2; BTN3A3; BTN3A1; FBXO4; ANAPC13; SPSB2; FCER1G; STAT3; DHX58; IFIT2; IFI16; S100A9; S100A8; ICAM1; NFKB2; FGR; CISH; MVP; HLA-G; MT2A; TRIM69; IRAK3; DET1; MX1; IFI6; RNASEL; IL6; HLA-DOB; ARG1; HLA-DPA1; HSP90AA1; PPIE; MGRN1; C1QC; IFIH1; RELB; KCTD7; HLA-DPB1; CRISPLD2; PLAUR; CD59; FCGR3B; HSPA1B; IL18BP; NLRC3; WASF2; CPNE1; IMPDH2; RSAD2; CXCR1; NOD1; IFIT1; HK3; GAA; TRAF2; ATAD3B; CD40; FCGR2A; IL32; LRG1; CASP4; SAMHD1; ARSA; GBP4; CASP1; PNP; CALR; MMP9; LILRA6; ATP6V0E2; LILRA5	2219; 4831; 3127; 966; 7132; 83716; 11119; 837; 3106; 90423; 834; 2357; 6041; 684; 10379; 2537; 3615; 78989; 79168; 4069; 8519; 720; 2635; 115361; 2212; 10910; 6279; 55008; 83858; 9246; 1519; 4600; 6515; 10581; 3119; 2207; 116844; 9976; 10578; 246184; 11118; 140691; 3309; 3718; 80263; 2634; 100507436; 2215; 4939; 4361; 23586; 5329; 79132; 3554; 3665; 4792; 7097; 3043; 3326; 6772; 7184; 4318; 9961; 55070; 3577; 9636; 8809; 958; 154881; 25939; 6280; 6556; 54739; 1973; 3113; 84078; 3115; 2548; 8904; 4860; 10068; 3601; 4125; 25847; 25840; 84727; 4940; 9342; 3569; 714; 10219; 155066; 3566; 3455; 89122; 410; 6283; 57506; 387921; 3437; 51816; 55313; 3434; 197358; 57020; 8638; 811; 3123; 7318; 3112; 10392; 10163; 713; 3105; 3320; 6774; 29990; 7186; 4502; 1116; 9261; 91543; 3310; 151636; 93100; 383; 56954; 1668; 11213; 57126; 3454; 10326; 6464; 8547; 3429; 5971; 1154; 9235; 4589; 3459; 1440; 79155; 7850; 115004; 6891; 10384; 29992; 3312; 6036; 1992; 9021; 138050; 2268; 2633; 10410; 719; 10450; 3433; 175; 3428; 3135; 26272; 5970; 89790; 4599; 23295; 7323; 2688; 5770; 6890; 3107; 4277; 8655; 3136; 3304; 3383; 64135; 5495; 721; 353514; 3101; 79792; 4791	1840	1827
1.14958264369e-09	2.44605640296e-07	Influenza A - Homo sapiens (human)	KEGG	path:hsa05164	IFIH1; HSPA6; NFKBIA; MX1; IFNAR2; HSPA1B; IFNAR1; IFNGR1; RSAD2; FURIN; XPO1; DDX58; STAT1; OAS3; OAS2; HLA-DQB1; ICAM1; RELA; RNASEL; HLA-DPB1; HSPA8; NXF1; HLA-DRB1; TNFRSF10B; HLA-DRB5; CXCL10; IRF7; SOCS3; CASP1; IRF9; TNFRSF1A; IL6; HLA-DOB; HLA-DPA1; MAVS	23586; 3112; 3113; 3627; 3119; 3123; 3127; 3665; 8795; 3383; 6772; 64135; 10379; 57506; 4792; 3304; 3310; 3312; 10482; 3115; 9021; 834; 4940; 5970; 7514; 3454; 3455; 3459; 91543; 6041; 3569; 5045; 4939; 7132; 4599	171	171
6.60403967843e-08	1.22397858239e-05	Attenuation phase	Reactome	R-HSA-3371568	HSF1; HSP90AB1; HSPA6; MRPL18; PTGES3; HSPA8; DNAJB6; FKBP4; HSPA1B; HSP90AA1; SERPINH1; HSPH1	2288; 10049; 3320; 3310; 3297; 871; 3304; 10808; 29074; 3326; 3312; 10728	28	28
