p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
7.75582652042e-12	2.90843494516e-09	Interferon Signaling	Reactome	R-HSA-913531	ENSG00000185745; ENSG00000206341; ENSG00000196126; ENSG00000179344; ENSG00000134321; ENSG00000231389; ENSG00000142089; ENSG00000185201; ENSG00000206503; ENSG00000111331; ENSG00000126709; ENSG00000132530; ENSG00000157601; ENSG00000204632; ENSG00000198502; ENSG00000204525; ENSG00000117226	3434; 4599; 3127; 54739; 3113; 3107; 4940; 3123; 2635; 3136; 91543; 10581; 3119; 3105; 3135; 2537; 10410	158	158
4.13738608364e-11	7.75759890683e-09	Interferon alpha/beta signaling	Reactome	R-HSA-909733	ENSG00000185745; ENSG00000206341; ENSG00000111331; ENSG00000126709; ENSG00000142089; ENSG00000134321; ENSG00000204525; ENSG00000185201; ENSG00000206503; ENSG00000132530; ENSG00000157601; ENSG00000204632	3105; 54739; 3135; 3434; 3107; 3136; 91543; 2537; 4940; 4599; 10410; 10581	70	70
1.17681929643e-08	1.47102412053e-06	Allograft rejection - Homo sapiens (human)	KEGG	path:hsa05330	ENSG00000198502; ENSG00000241106; ENSG00000204525; ENSG00000206503; ENSG00000179344; ENSG00000204632; ENSG00000196126; ENSG00000231389	3119; 3105; 3107; 3112; 3113; 3123; 3127; 3135	38	37
2.27256736716e-08	2.13053190671e-06	Graft-versus-host disease - Homo sapiens (human)	KEGG	path:hsa05332	ENSG00000198502; ENSG00000241106; ENSG00000204525; ENSG00000206503; ENSG00000179344; ENSG00000204632; ENSG00000196126; ENSG00000231389	3105; 3107; 3112; 3113; 3119; 3123; 3127; 3135	41	40
4.15424385843e-08	3.11568289382e-06	Type I diabetes mellitus - Homo sapiens (human)	KEGG	path:hsa04940	ENSG00000198502; ENSG00000241106; ENSG00000204525; ENSG00000206503; ENSG00000179344; ENSG00000204632; ENSG00000196126; ENSG00000231389	3105; 3107; 3112; 3113; 3119; 3123; 3127; 3135	43	43
5.74963874178e-08	3.59352421361e-06	Herpes simplex infection - Homo sapiens (human)	KEGG	path:hsa05168	ENSG00000185745; ENSG00000049246; ENSG00000111331; ENSG00000198502; ENSG00000133794; ENSG00000241106; ENSG00000231389; ENSG00000179094; ENSG00000206503; ENSG00000085514; ENSG00000179344; ENSG00000204632; ENSG00000196126; ENSG00000204525	3105; 3112; 3113; 3119; 3123; 3127; 3135; 5187; 8863; 3107; 29992; 4940; 3434; 406	185	185
1.40016644652e-07	7.04126982709e-06	Interferon alpha-beta signaling	Wikipathways	WP1835	ENSG00000185745; ENSG00000126709; ENSG00000142089; ENSG00000134321; ENSG00000185201; ENSG00000132530	10410; 2537; 3434; 10581; 54739; 91543	21	21
1.51488195029e-07	7.04126982709e-06	Allograft Rejection	Wikipathways	WP2328	ENSG00000198502; ENSG00000244731; ENSG00000241106; ENSG00000204525; ENSG00000204520; ENSG00000206503; ENSG00000179344; ENSG00000204632; ENSG00000196126; ENSG00000231389	3123; 3127; 3135; 100507436; 720; 3105; 3107; 3119; 3113; 3112	91	91
1.71977962103e-07	7.04126982709e-06	Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	ENSG00000185745; ENSG00000206503; ENSG00000126709; ENSG00000134321; ENSG00000142089; ENSG00000179344; ENSG00000204525; ENSG00000196126; ENSG00000206341; ENSG00000111321; ENSG00000185201; ENSG00000111331; ENSG00000132530; ENSG00000157601; ENSG00000115590; ENSG00000231389; ENSG00000204632; ENSG00000117226; ENSG00000198502; ENSG00000168610; ENSG00000163221	3127; 4940; 2537; 10410; 6283; 3123; 2635; 91543; 3105; 3135; 4599; 6774; 3107; 3136; 3434; 10581; 3119; 4055; 54739; 3113; 7850	458	458
1.96448045202e-07	7.04126982709e-06	Autoimmune thyroid disease - Homo sapiens (human)	KEGG	path:hsa05320	ENSG00000198502; ENSG00000241106; ENSG00000204525; ENSG00000206503; ENSG00000179344; ENSG00000204632; ENSG00000196126; ENSG00000231389	3105; 3107; 3112; 3113; 3119; 3123; 3127; 3135	53	52
2.06543914928e-07	7.04126982709e-06	Interferon gamma signaling	Reactome	R-HSA-877300	ENSG00000206341; ENSG00000196126; ENSG00000231389; ENSG00000206503; ENSG00000111331; ENSG00000179344; ENSG00000204632; ENSG00000198502; ENSG00000204525; ENSG00000117226	3127; 3113; 3107; 4940; 3123; 2635; 3136; 3119; 3105; 3135	94	94
4.7031678422e-07	1.46973995069e-05	Viral myocarditis - Homo sapiens (human)	KEGG	path:hsa05416	ENSG00000198502; ENSG00000241106; ENSG00000204525; ENSG00000206503; ENSG00000179344; ENSG00000204632; ENSG00000196126; ENSG00000231389	3105; 3107; 3112; 3113; 3119; 3123; 3127; 3135	59	58
2.82535615001e-06	8.15006581735e-05	Antigen processing and presentation - Homo sapiens (human)	KEGG	path:hsa04612	ENSG00000198502; ENSG00000241106; ENSG00000204525; ENSG00000206503; ENSG00000179344; ENSG00000204632; ENSG00000196126; ENSG00000231389	3105; 3107; 3112; 3113; 3119; 3123; 3135; 3127	77	73
3.0437930955e-06	8.1530172201e-05	Melatonin metabolism and effects	Wikipathways	WP3298	ENSG00000100197; ENSG00000049246; ENSG00000196502; ENSG00000133794; ENSG00000179094; ENSG00000140465	6817; 1543; 406; 1565; 8863; 5187	34	34
3.63671834066e-06	9.09179585166e-05	Circadian Clock	Reactome	R-HSA-400253	ENSG00000126368; ENSG00000133794; ENSG00000179094; ENSG00000105835; ENSG00000163884; ENSG00000105516	1628; 10135; 5187; 28999; 9572; 406	35	35
4.37799073577e-06	0.00010260915787	Staphylococcus aureus infection - Homo sapiens (human)	KEGG	path:hsa05150	ENSG00000198502; ENSG00000244731; ENSG00000241106; ENSG00000231389; ENSG00000179344; ENSG00000171051; ENSG00000196126	3112; 3113; 3119; 3123; 2357; 3127; 720	56	55
9.79086833083e-06	0.00021597503671	Scavenging of heme from plasma	Reactome	R-HSA-2168880	ENSG00000206172; ENSG00000177575; ENSG00000188536; ENSG00000244734	9332; 3043; 3040; 3039	12	12
1.40081249887e-05	0.000276476151092	Endosomal/Vacuolar pathway	Reactome	R-HSA-1236977	ENSG00000206341; ENSG00000206503; ENSG00000204525; ENSG00000204632	3107; 3136; 3105; 3135	13	13
1.40081249887e-05	0.000276476151092	BMAL1:CLOCK,NPAS2 activates circadian gene expression	Reactome	R-HSA-1368108	ENSG00000105835; ENSG00000105516; ENSG00000163884; ENSG00000133794	28999; 1628; 406; 10135	13	13
2.13207931691e-05	0.000387350301363	Intestinal immune network for IgA production - Homo sapiens (human)	KEGG	path:hsa04672	ENSG00000198502; ENSG00000241106; ENSG00000231389; ENSG00000111321; ENSG00000179344; ENSG00000196126	3112; 3113; 3119; 3123; 3127; 4055	49	47
2.16916168763e-05	0.000387350301363	Immune System	Reactome	R-HSA-168256	ENSG00000243678; ENSG00000111331; ENSG00000143546; ENSG00000169385; ENSG00000020922; ENSG00000171051; ENSG00000038002; ENSG00000084072; ENSG00000244734; ENSG00000126709; ENSG00000239839; ENSG00000185880; ENSG00000134321; ENSG00000244731; ENSG00000231389; ENSG00000142089; ENSG00000147813; ENSG00000168610; ENSG00000187116; ENSG00000185745; ENSG00000138642; ENSG00000241106; ENSG00000206503; ENSG00000111321; ENSG00000206341; ENSG00000111671; ENSG00000085514; ENSG00000179344; ENSG00000115590; ENSG00000196126; ENSG00000117226; ENSG00000018280; ENSG00000163221; ENSG00000204632; ENSG00000204525; ENSG00000185201; ENSG00000186470; ENSG00000204520; ENSG00000132530; ENSG00000157601; ENSG00000163220; ENSG00000198502	4831; 3127; 2357; 2537; 720; 2635; 6279; 55008; 10581; 3119; 11118; 140691; 100507436; 4361; 3043; 6280; 6556; 4055; 54739; 3113; 84727; 4940; 6283; 3434; 3123; 3112; 3105; 6774; 91543; 93100; 1668; 7850; 29992; 6036; 10410; 10450; 175; 3135; 4599; 3107; 3136; 353514	1840	1816
2.82809081555e-05	0.000482060934468	Asthma - Homo sapiens (human)	KEGG	path:hsa05310	ENSG00000241106; ENSG00000231389; ENSG00000196126; ENSG00000179344; ENSG00000198502	3112; 3113; 3119; 3123; 3127	31	30
6.32043893446e-05	0.00103050634801	Cell adhesion molecules (CAMs) - Homo sapiens (human)	KEGG	path:hsa04514	ENSG00000197822; ENSG00000198502; ENSG00000241106; ENSG00000204525; ENSG00000206503; ENSG00000179344; ENSG00000204632; ENSG00000196126; ENSG00000231389	3105; 3107; 3112; 3113; 3119; 3123; 3135; 100506658; 3127	144	143
7.1719248891e-05	0.00112061326392	HSP90 chaperone cycle for steroid hormone receptors (SHR)	Reactome	R-HSA-3371497	ENSG00000096060; ENSG00000086061; ENSG00000004478; ENSG00000168439	10963; 3301; 2289; 2288	19	19
7.69793537055e-05	0.00115469030558	Human T-cell leukemia virus 1 infection - Homo sapiens (human)	KEGG	path:hsa05166	ENSG00000198502; ENSG00000241106; ENSG00000204525; ENSG00000082898; ENSG00000111321; ENSG00000206503; ENSG00000179344; ENSG00000115590; ENSG00000204632; ENSG00000196126; ENSG00000231389	3105; 3107; 3112; 3113; 3119; 3123; 3135; 3127; 7850; 4055; 7514	219	219
0.000136896155535	0.00197081809991	Inflammatory bowel disease (IBD) - Homo sapiens (human)	KEGG	path:hsa05321	ENSG00000198502; ENSG00000241106; ENSG00000231389; ENSG00000179344; ENSG00000168610; ENSG00000196126	3112; 3113; 3119; 3123; 3127; 6774	65	65
0.000141898903194	0.00197081809991	Erythrocytes take up oxygen and release carbon dioxide	Reactome	R-HSA-1247673	ENSG00000206172; ENSG00000244734; ENSG00000188536	3043; 3040; 3039	9	9
0.000170092397366	0.00227802317901	Epstein-Barr virus infection - Homo sapiens (human)	KEGG	path:hsa05169	ENSG00000111331; ENSG00000198502; ENSG00000241106; ENSG00000204525; ENSG00000206503; ENSG00000179344; ENSG00000204632; ENSG00000168610; ENSG00000196126; ENSG00000231389	3105; 3107; 3112; 3113; 3119; 3123; 3127; 3135; 6774; 4940	201	200
