p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.18467682745e-11	5.45853608224e-08	Cilium Assembly	Reactome	R-HSA-5617833	ENSG00000166226; ENSG00000213923; ENSG00000198707; ENSG00000138002; ENSG00000148384; ENSG00000131462; ENSG00000118096; ENSG00000128602; ENSG00000168014; ENSG00000173226; ENSG00000150753; ENSG00000198089; ENSG00000188229; ENSG00000249115; ENSG00000196659; ENSG00000122507; ENSG00000080824; ENSG00000125124; ENSG00000174799; ENSG00000138036; ENSG00000119650; ENSG00000048342; ENSG00000213066; ENSG00000163468; ENSG00000137343; ENSG00000187049; ENSG00000188878; ENSG00000011143; ENSG00000204852; ENSG00000141577; ENSG00000110274; ENSG00000113971; ENSG00000135315; ENSG00000131437	51259; 85302; 26005; 9662; 9814; 27241; 11127; 26160; 150737; 56623; 10576; 1454; 11116; 80184; 79600; 7203; 51626; 112752; 22948; 22994; 54903; 57545; 10383; 22832; 27031; 583; 56912; 22897; 23354; 79969; 3320; 7283; 9657; 6608	187	187
5.0052345e-09	4.2894859665e-06	HSP90 chaperone cycle for steroid hormone receptors (SHR)	Reactome	R-HSA-3371497	ENSG00000204390; ENSG00000204388; ENSG00000109971; ENSG00000086061; ENSG00000080824; ENSG00000132002; ENSG00000168439; ENSG00000110958; ENSG00000096060; ENSG00000004478	10728; 3320; 10963; 3301; 3312; 2289; 2288; 3337; 3304; 3305	19	19
1.9617497101e-08	1.12081300104e-05	Organelle biogenesis and maintenance	Reactome	R-HSA-1852241	ENSG00000166226; ENSG00000213923; ENSG00000198707; ENSG00000138002; ENSG00000148384; ENSG00000131462; ENSG00000118096; ENSG00000128602; ENSG00000168014; ENSG00000173226; ENSG00000138036; ENSG00000150753; ENSG00000198089; ENSG00000188229; ENSG00000249115; ENSG00000196659; ENSG00000122507; ENSG00000080824; ENSG00000125124; ENSG00000174799; ENSG00000204852; ENSG00000119650; ENSG00000048342; ENSG00000213066; ENSG00000163468; ENSG00000137343; ENSG00000187049; ENSG00000188878; ENSG00000011143; ENSG00000110274; ENSG00000141577; ENSG00000113971; ENSG00000135315; ENSG00000131437	51259; 150737; 85302; 26005; 9662; 22948; 9814; 11127; 79969; 26160; 56623; 80184; 10576; 1454; 11116; 79600; 7203; 22897; 51626; 112752; 22994; 54903; 57545; 9657; 22832; 27031; 27241; 583; 56912; 10383; 23354; 3320; 7283; 6608	240	237
1.76432157812e-07	7.49819854126e-05	Gene expression (Transcription)	Reactome	R-HSA-74160	ENSG00000198793; ENSG00000225830; ENSG00000160679; ENSG00000074266; ENSG00000125484; ENSG00000142065; ENSG00000185252; ENSG00000181450; ENSG00000162714; ENSG00000164941; ENSG00000167555; ENSG00000158373; ENSG00000047315; ENSG00000125107; ENSG00000267508; ENSG00000125630; ENSG00000187187; ENSG00000189190; ENSG00000174738; ENSG00000251369; ENSG00000130684; ENSG00000083828; ENSG00000198393; ENSG00000172530; ENSG00000186951; ENSG00000100650; ENSG00000165732; ENSG00000168661; ENSG00000198939; ENSG00000196967; ENSG00000104687; ENSG00000100462; ENSG00000178338; ENSG00000149932; ENSG00000239306; ENSG00000180479; ENSG00000180573; ENSG00000198431; ENSG00000118495; ENSG00000197162; ENSG00000179295; ENSG00000250312; ENSG00000186666; ENSG00000172687; ENSG00000196345; ENSG00000078237; ENSG00000198730; ENSG00000131127; ENSG00000196268; ENSG00000143799; ENSG00000196263; ENSG00000198039; ENSG00000132341; ENSG00000079134; ENSG00000167554; ENSG00000242252; ENSG00000180855; ENSG00000155876; ENSG00000088038; ENSG00000165699; ENSG00000138346; ENSG00000185513; ENSG00000116819; ENSG00000185219; ENSG00000177873; ENSG00000155363; ENSG00000121417; ENSG00000149311; ENSG00000090060; ENSG00000198105; ENSG00000094914; ENSG00000161551; ENSG00000254598; ENSG00000186020; ENSG00000100296; ENSG00000184939; ENSG00000125846; ENSG00000113360; ENSG00000177613; ENSG00000168395; ENSG00000153896; ENSG00000119203; ENSG00000119041; ENSG00000204371; ENSG00000196456; ENSG00000143033; ENSG00000172409; ENSG00000081665; ENSG00000196387; ENSG00000108773; ENSG00000172819; ENSG00000144026; ENSG00000058673; ENSG00000188227; ENSG00000198046; ENSG00000171163; ENSG00000143624; ENSG00000149262; ENSG00000137752; ENSG00000182986; ENSG00000175322; ENSG00000196150; ENSG00000138336; ENSG00000176293; ENSG00000181666; ENSG00000126368; ENSG00000141391; ENSG00000164011; ENSG00000133624	148203; 632; 63934; 55657; 7694; 162963; 472; 284459; 834; 54971; 84289; 84765; 10919; 4849; 57677; 5916; 22823; 84172; 7248; 146198; 10670; 57209; 390927; 162972; 55656; 26013; 26152; 5431; 6430; 7296; 148103; 80108; 9877; 8334; 10224; 3017; 9330; 26097; 55888; 146540; 8086; 84838; 5781; 9188; 2074; 90075; 142; 285971; 29102; 8563; 5901; 7699; 285267; 26974; 162967; 54807; 5465; 117608; 57573; 440515; 8726; 7574; 10419; 9646; 339327; 10978; 51276; 339488; 7625; 7700; 2475; 144233; 162966; 23283; 9572; 9984; 162655; 80312; 51692; 92105; 2648; 10793; 199704; 255403; 79970; 1763; 7692; 353274; 284443; 57103; 10914; 10650; 9329; 10432; 339500; 5325; 57711; 23019; 84436; 58500; 283106; 9975; 84874; 124446; 4343; 10520; 2936; 51058; 65123	1373	1361
2.18733913105e-07	7.49819854126e-05	Anchoring of the basal body to the plasma membrane	Reactome	R-HSA-5620912	ENSG00000188229; ENSG00000187049; ENSG00000188878; ENSG00000198089; ENSG00000011143; ENSG00000110274; ENSG00000213923; ENSG00000198707; ENSG00000168014; ENSG00000174799; ENSG00000204852; ENSG00000249115; ENSG00000048342; ENSG00000213066; ENSG00000141577; ENSG00000135315; ENSG00000173226; ENSG00000080824; ENSG00000131462	51259; 85302; 26005; 9662; 9814; 1454; 11116; 79600; 80184; 22994; 54903; 57545; 10383; 22832; 22897; 23354; 3320; 7283; 9657	97	97
4.73918416352e-07	0.000135382694271	Attenuation phase	Reactome	R-HSA-3371568	ENSG00000120694; ENSG00000149257; ENSG00000004478; ENSG00000109971; ENSG00000080824; ENSG00000132002; ENSG00000204388; ENSG00000110958; ENSG00000204390; ENSG00000112110	2288; 3320; 871; 3305; 3304; 10808; 29074; 3312; 10728; 3337	28	28
7.6461295324e-07	0.000187220943122	HSF1-dependent transactivation	Reactome	R-HSA-3371571	ENSG00000120694; ENSG00000198793; ENSG00000149257; ENSG00000109971; ENSG00000004478; ENSG00000080824; ENSG00000132002; ENSG00000204388; ENSG00000110958; ENSG00000204390; ENSG00000112110	3312; 3320; 871; 2475; 3305; 10728; 10808; 29074; 2288; 3304; 3337	36	36
8.7411720931e-07	0.000187279612095	RNA Polymerase II Transcription	Reactome	R-HSA-73857	ENSG00000198793; ENSG00000160679; ENSG00000074266; ENSG00000142065; ENSG00000185252; ENSG00000181450; ENSG00000162714; ENSG00000164941; ENSG00000167555; ENSG00000158373; ENSG00000047315; ENSG00000125107; ENSG00000267508; ENSG00000187187; ENSG00000189190; ENSG00000182986; ENSG00000251369; ENSG00000130684; ENSG00000083828; ENSG00000198393; ENSG00000172530; ENSG00000186951; ENSG00000100650; ENSG00000168661; ENSG00000198939; ENSG00000196967; ENSG00000104687; ENSG00000100462; ENSG00000178338; ENSG00000149932; ENSG00000239306; ENSG00000180479; ENSG00000180573; ENSG00000198431; ENSG00000118495; ENSG00000197162; ENSG00000179295; ENSG00000250312; ENSG00000143799; ENSG00000196345; ENSG00000078237; ENSG00000125846; ENSG00000131127; ENSG00000196268; ENSG00000172687; ENSG00000196263; ENSG00000198039; ENSG00000090060; ENSG00000079134; ENSG00000167554; ENSG00000242252; ENSG00000180855; ENSG00000155876; ENSG00000088038; ENSG00000165699; ENSG00000138346; ENSG00000185513; ENSG00000116819; ENSG00000185219; ENSG00000177873; ENSG00000155363; ENSG00000121417; ENSG00000149311; ENSG00000198105; ENSG00000161551; ENSG00000254598; ENSG00000186020; ENSG00000100296; ENSG00000184939; ENSG00000198730; ENSG00000177613; ENSG00000168395; ENSG00000153896; ENSG00000119203; ENSG00000204371; ENSG00000196456; ENSG00000172409; ENSG00000081665; ENSG00000196387; ENSG00000108773; ENSG00000172819; ENSG00000144026; ENSG00000058673; ENSG00000188227; ENSG00000198046; ENSG00000171163; ENSG00000143624; ENSG00000149262; ENSG00000137752; ENSG00000174738; ENSG00000175322; ENSG00000196150; ENSG00000176293; ENSG00000181666; ENSG00000126368; ENSG00000141391; ENSG00000164011; ENSG00000133624	148203; 632; 63934; 3017; 55657; 7694; 10419; 9646; 390927; 10520; 162963; 10914; 57103; 26097; 54807; 146540; 339327; 284443; 55888; 834; 10650; 54971; 10978; 84289; 10919; 285971; 51276; 84765; 339488; 7625; 7700; 57677; 84838; 10432; 339500; 5325; 5781; 146198; 162966; 23019; 23283; 9572; 7248; 472; 84436; 58500; 90075; 4849; 142; 57209; 51692; 92105; 5916; 84874; 2648; 283106; 10793; 8563; 9975; 162972; 55656; 2936; 26013; 26152; 5431; 6430; 199704; 7296; 2475; 148103; 162655; 26974; 255403; 162967; 124446; 284459; 1763; 5465; 117608; 80108; 9984; 9877; 57711; 7692; 79970; 8334; 51058; 57573; 440515; 10670; 8726; 65123; 10224; 285267; 353274; 7699; 4343; 7574	1236	1225
2.52322710852e-06	0.00048053458489	Folding of actin by CCT/TriC	Reactome	R-HSA-390450	ENSG00000132141; ENSG00000166226; ENSG00000135624; ENSG00000146731; ENSG00000150753; ENSG00000163468	7203; 10574; 908; 22948; 10693; 10576	10	10
1.11105646721e-05	0.00179834580125	Parkin-Ubiquitin Proteasomal System pathway	Wikipathways	WP2359	ENSG00000161057; ENSG00000170606; ENSG00000204390; ENSG00000163636; ENSG00000188229; ENSG00000109971; ENSG00000099341; ENSG00000204388; ENSG00000175166; ENSG00000173692; ENSG00000113013; ENSG00000225217; ENSG00000103035; ENSG00000137752	9861; 10383; 3304; 5708; 834; 5707; 5701; 5713; 3311; 3312; 5714; 3308; 3313; 3305	73	73
