p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.92090902634e-07	0.000238576901071	EGFR1	NetPath	Pathway_EGFR1	ENSG00000103404; ENSG00000162434; ENSG00000100994; ENSG00000051382; ENSG00000136738; ENSG00000097007; ENSG00000071242; ENSG00000163399; ENSG00000050820; ENSG00000145901; ENSG00000175866; ENSG00000035403; ENSG00000122779; ENSG00000136205; ENSG00000132334; ENSG00000132155; ENSG00000100485; ENSG00000154229; ENSG00000169604; ENSG00000174791; ENSG00000124356; ENSG00000109458; ENSG00000170558; ENSG00000152661; ENSG00000062598; ENSG00000096696; ENSG00000064393; ENSG00000067606; ENSG00000057294; ENSG00000143850; ENSG00000166949	5578; 1000; 5590; 22874; 57478; 9564; 5318; 5291; 1832; 5894; 2697; 2549; 4088; 64759; 10318; 63916; 5791; 28996; 8027; 5834; 25; 10458; 3716; 84168; 10617; 476; 6655; 9610; 7414; 8805; 6196	457	455
3.85791425026e-07	0.000239576474941	EGF-EGFR Signaling Pathway	Wikipathways	WP437	ENSG00000097007; ENSG00000136854; ENSG00000071242; ENSG00000174791; ENSG00000162434; ENSG00000050820; ENSG00000154229; ENSG00000182541; ENSG00000087586; ENSG00000109458; ENSG00000127527; ENSG00000124356; ENSG00000152661; ENSG00000132155; ENSG00000100485; ENSG00000067606; ENSG00000136738	3716; 25; 9564; 8027; 5590; 6655; 6812; 10617; 2549; 5578; 5894; 6196; 2697; 9610; 58513; 3985; 6790	162	162
9.27492933215e-06	0.00383982074351	Integrin	INOH	None	ENSG00000204291; ENSG00000092758; ENSG00000135424; ENSG00000142173; ENSG00000100485; ENSG00000171812; ENSG00000169031; ENSG00000035403; ENSG00000111799; ENSG00000050820; ENSG00000132155; ENSG00000081052; ENSG00000168477	1306; 7148; 1292; 3679; 1286; 1299; 1285; 6655; 9564; 7414; 1296; 5894; 1303	124	124
2.48955274545e-05	0.00773006127463	Aldosterone-regulated sodium reabsorption - Homo sapiens (human)	KEGG	path:hsa04960	ENSG00000018625; ENSG00000163399; ENSG00000143153; ENSG00000129244; ENSG00000154229; ENSG00000176387; ENSG00000051382	5291; 5578; 3291; 476; 477; 481; 482	37	37
4.21487230184e-05	0.0104697427978	Signaling by PDGF	Reactome	R-HSA-186797	ENSG00000092758; ENSG00000186340; ENSG00000050820; ENSG00000197461; ENSG00000169031; ENSG00000142173; ENSG00000081052; ENSG00000051382	7058; 9564; 1292; 1286; 1299; 5291; 5154; 1285	54	54
6.10113319212e-05	0.0123268249917	Protein digestion and absorption - Homo sapiens (human)	KEGG	path:hsa04974	ENSG00000204291; ENSG00000092758; ENSG00000018625; ENSG00000163399; ENSG00000142173; ENSG00000169031; ENSG00000143153; ENSG00000129244; ENSG00000111799; ENSG00000081052	1285; 1286; 1292; 1299; 1303; 1306; 476; 477; 481; 482	90	90
8.01605815765e-05	0.0123268249917	Collagen chain trimerization	Reactome	R-HSA-8948216	ENSG00000204291; ENSG00000171812; ENSG00000092758; ENSG00000142173; ENSG00000169031; ENSG00000111799; ENSG00000081052	1306; 1292; 1296; 1286; 1299; 1303; 1285	44	44
9.6658403645e-05	0.0123268249917	Lactose Degradation	SMPDB	SMP00457	ENSG00000129244; ENSG00000143153; ENSG00000018625; ENSG00000163399	476; 477; 481; 482	11	11
9.6658403645e-05	0.0123268249917	Lactose Intolerance	SMPDB	SMP00458	ENSG00000129244; ENSG00000143153; ENSG00000018625; ENSG00000163399	476; 477; 481; 482	11	11
9.9249798645e-05	0.0123268249917	Focal adhesion - Homo sapiens (human)	KEGG	path:hsa04510	ENSG00000092758; ENSG00000135424; ENSG00000168477; ENSG00000142173; ENSG00000050820; ENSG00000197461; ENSG00000154229; ENSG00000169031; ENSG00000051382; ENSG00000186111; ENSG00000100485; ENSG00000132155; ENSG00000081052; ENSG00000035403; ENSG00000186340	5154; 5894; 3679; 5291; 7414; 1285; 1286; 1292; 1299; 9564; 23396; 7058; 5578; 7148; 6655	199	199
0.000121427287398	0.0137102446317	Regulation of Ras family activation	PID	ras_pathway	ENSG00000174791; ENSG00000100485; ENSG00000067606; ENSG00000100097; ENSG00000197283; ENSG00000154229	5578; 3956; 5590; 6655; 9610; 8831	34	33
0.000142233376042	0.014301988458	Trehalose Degradation	SMPDB	SMP00467	ENSG00000129244; ENSG00000143153; ENSG00000018625; ENSG00000163399	476; 477; 481; 482	12	12
0.000156452201112	0.014301988458	ECM-receptor interaction - Homo sapiens (human)	KEGG	path:hsa04512	ENSG00000092758; ENSG00000135424; ENSG00000173402; ENSG00000142173; ENSG00000135218; ENSG00000169031; ENSG00000186340; ENSG00000081052; ENSG00000168477	1285; 1286; 1292; 1299; 1605; 948; 3679; 7148; 7058	82	82
0.000161214040589	0.014301988458	Axon guidance	Reactome	R-HSA-422475	ENSG00000164050; ENSG00000092758; ENSG00000071242; ENSG00000173402; ENSG00000074054; ENSG00000132535; ENSG00000186111; ENSG00000081052; ENSG00000169031; ENSG00000147799; ENSG00000142173; ENSG00000182541; ENSG00000109458; ENSG00000067141; ENSG00000101266; ENSG00000097007; ENSG00000100485; ENSG00000196405; ENSG00000205726; ENSG00000154229; ENSG00000072832	5578; 1605; 1457; 6453; 23332; 23396; 80728; 1286; 51466; 1292; 1285; 2549; 1742; 1299; 25; 5364; 3985; 6655; 1400; 4756; 6196	358	357
0.000206525282128	0.0171002933602	Phospholipase D signaling pathway - Homo sapiens (human)	KEGG	path:hsa04072	ENSG00000154229; ENSG00000158186; ENSG00000160216; ENSG00000100485; ENSG00000197461; ENSG00000051382; ENSG00000186111; ENSG00000109458; ENSG00000143761; ENSG00000132155; ENSG00000102780; ENSG00000173175	5154; 56894; 160851; 111; 5291; 5894; 22808; 23396; 375; 5578; 2549; 6655	146	145
0.000311674899362	0.0233396780086	Relaxin signaling pathway - Homo sapiens (human)	KEGG	path:hsa04926	ENSG00000106799; ENSG00000114450; ENSG00000166949; ENSG00000100485; ENSG00000173175; ENSG00000169031; ENSG00000154229; ENSG00000132155; ENSG00000081052; ENSG00000051382; ENSG00000067606	1286; 111; 5291; 1285; 5894; 7046; 5578; 59345; 5590; 4088; 6655	130	130
0.000332784313677	0.0233396780086	Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Homo sapiens (human)	KEGG	path:hsa05412	ENSG00000135424; ENSG00000173402; ENSG00000096696; ENSG00000134755; ENSG00000057294; ENSG00000170558; ENSG00000152661; ENSG00000160789	2697; 4000; 1832; 1824; 1605; 5318; 1000; 3679	72	72
0.000338256203023	0.0233396780086	Ion transport by P-type ATPases	Reactome	R-HSA-936837	ENSG00000018625; ENSG00000163399; ENSG00000143153; ENSG00000129244; ENSG00000081923; ENSG00000119929; ENSG00000137726	51076; 476; 482; 481; 5205; 477; 53826	55	55
0.000401927434068	0.0258778215668	Arrhythmogenic Right Ventricular Cardiomyopathy	Wikipathways	WP2118	ENSG00000135424; ENSG00000173402; ENSG00000096696; ENSG00000134755; ENSG00000057294; ENSG00000170558; ENSG00000152661; ENSG00000160789	3679; 1832; 5318; 1824; 1605; 4000; 2697; 1000	74	74
0.000416712102525	0.0258778215668	pdgf signaling pathway	BioCarta	pdgfpathway	ENSG00000162434; ENSG00000101266; ENSG00000197461; ENSG00000132155; ENSG00000154229	3716; 5578; 5894; 1457; 5154	27	27
0.000502893505203	0.027561547059	Developmental Biology	Reactome	R-HSA-1266738	ENSG00000092758; ENSG00000173402; ENSG00000186111; ENSG00000101266; ENSG00000205726; ENSG00000097007; ENSG00000074054; ENSG00000072832; ENSG00000134755; ENSG00000169031; ENSG00000171401; ENSG00000196405; ENSG00000100485; ENSG00000154229; ENSG00000182541; ENSG00000109458; ENSG00000170558; ENSG00000135503; ENSG00000164050; ENSG00000071242; ENSG00000142173; ENSG00000096696; ENSG00000147799; ENSG00000132535; ENSG00000140479; ENSG00000057294; ENSG00000067141; ENSG00000081052; ENSG00000166949	5578; 1605; 1457; 6453; 1000; 23332; 80728; 23396; 5046; 51466; 1292; 1285; 2549; 4088; 1824; 1299; 25; 1832; 5318; 5364; 4756; 3985; 6655; 91; 1400; 1286; 3860; 1742; 6196	620	619
0.000510399019611	0.027561547059	Epithelial to mesenchymal transition in colorectal cancer	Wikipathways	WP4239	ENSG00000051382; ENSG00000166949; ENSG00000081052; ENSG00000096696; ENSG00000169031; ENSG00000101384; ENSG00000057294; ENSG00000170558; ENSG00000132155; ENSG00000100485; ENSG00000106799; ENSG00000155760	1832; 7046; 6655; 8324; 5318; 1000; 182; 1286; 4088; 5291; 1285; 5894	160	160
0.000510399019611	0.027561547059	Insulin Signaling	Wikipathways	WP481	ENSG00000136854; ENSG00000051382; ENSG00000071242; ENSG00000166592; ENSG00000154229; ENSG00000095637; ENSG00000109458; ENSG00000143761; ENSG00000132155; ENSG00000100485; ENSG00000067606; ENSG00000170759	3799; 10580; 5590; 375; 6655; 2549; 5578; 5894; 6196; 6812; 5291; 6236	160	160
0.000619169129163	0.0308644542103	Carbohydrate digestion and absorption - Homo sapiens (human)	KEGG	path:hsa04973	ENSG00000018625; ENSG00000163399; ENSG00000143153; ENSG00000129244; ENSG00000156515; ENSG00000051382	3098; 5291; 482; 476; 477; 481	44	44
0.000624374591829	0.0308644542103	Signaling by Receptor Tyrosine Kinases	Reactome	R-HSA-9006934	ENSG00000092758; ENSG00000061676; ENSG00000060656; ENSG00000051382; ENSG00000136738; ENSG00000071242; ENSG00000186340; ENSG00000050820; ENSG00000197461; ENSG00000169031; ENSG00000175866; ENSG00000127527; ENSG00000136205; ENSG00000154229; ENSG00000047315; ENSG00000109458; ENSG00000062598; ENSG00000142173; ENSG00000144749; ENSG00000081052; ENSG00000140479; ENSG00000067606	5578; 1286; 5590; 9564; 5291; 5154; 5046; 1292; 8027; 1285; 2549; 10076; 7058; 64759; 10787; 63916; 1299; 10458; 5431; 58513; 26018; 6196	423	423
0.000646115788622	0.0308644542103	Phosphatidylinositol signaling system - Homo sapiens (human)	KEGG	path:hsa04070	ENSG00000166908; ENSG00000133731; ENSG00000108389; ENSG00000186111; ENSG00000154229; ENSG00000115556; ENSG00000100605; ENSG00000102780; ENSG00000051382	3612; 160851; 3705; 5291; 5578; 84812; 23396; 9110; 79837	99	99
0.000775989102615	0.0347731027082	Signaling by Rho GTPases	Reactome	R-HSA-194315	ENSG00000116584; ENSG00000031003; ENSG00000175216; ENSG00000122966; ENSG00000128805; ENSG00000061676; ENSG00000205726; ENSG00000071205; ENSG00000097007; ENSG00000074054; ENSG00000175866; ENSG00000196405; ENSG00000100485; ENSG00000066027; ENSG00000182541; ENSG00000159842; ENSG00000161791; ENSG00000170759; ENSG00000132535; ENSG00000008853; ENSG00000147799; ENSG00000170027	6453; 10787; 23332; 58504; 3799; 51306; 80728; 51466; 5525; 91010; 11113; 1742; 9793; 29; 79658; 9181; 25; 10458; 7532; 3985; 23221; 6655	435	430
0.000783934682634	0.0347731027082	miR-509-3p alteration of YAP1-ECM axis	Wikipathways	WP3967	ENSG00000186340; ENSG00000050820; ENSG00000187079; ENSG00000167081	7058; 5090; 9564; 7003	18	18
