p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.00050956979209	0.159412251592	TNF receptor signaling pathway 	PID	tnfpathway	ENSG00000011566; ENSG00000012983; ENSG00000154310; ENSG00000035681; ENSG00000095015; ENSG00000055208	23043; 23118; 8439; 8491; 4214; 11183	46	46
0.00055586198819	0.159412251592	Nectin adhesion pathway	PID	nectin_pathway	ENSG00000110400; ENSG00000186111; ENSG00000173482; ENSG00000006607; ENSG00000044115	5797; 1495; 5818; 9855; 23396	31	31
0.000561362526105	0.159412251592	Nef Mediated CD8 Down-regulation	Reactome	R-HSA-182218	ENSG00000047249; ENSG00000006125; ENSG00000042753	163; 51606; 1175	8	8
0.000828213984683	0.159412251592	Nef Mediated CD4 Down-regulation	Reactome	R-HSA-167590	ENSG00000047249; ENSG00000006125; ENSG00000042753	163; 51606; 1175	9	9
0.00145740417817	0.159412251592	Ephrin A  reverse signaling	PID	ephrinarevpathway	ENSG00000010810; ENSG00000184349	2534; 1946	3	3
0.00157393445561	0.159412251592	Heme biosynthesis	Reactome	R-HSA-189451	ENSG00000014919; ENSG00000006695; ENSG00000023330	211; 1355; 1352	11	11
0.00169596279087	0.159412251592	TGF_beta_Receptor	NetPath	Pathway_TGF_beta_Receptor	ENSG00000124813; ENSG00000006125; ENSG00000023734; ENSG00000055130; ENSG00000005339; ENSG00000114126; ENSG00000028528; ENSG00000044115; ENSG00000004897; ENSG00000053900; ENSG00000039319	163; 8454; 6642; 996; 7029; 29945; 9765; 860; 11171; 1387; 1495	174	173
0.00171838315052	0.159412251592	Notch	INOH	None	ENSG00000005339; ENSG00000143801; ENSG00000055130; ENSG00000184916; ENSG00000041357; ENSG00000008018; ENSG00000101384	5685; 1387; 182; 5664; 3714; 8454; 5689	79	78
0.00204558549695	0.159412251592	Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	Wikipathways	WP2797	ENSG00000115641; ENSG00000135218; ENSG00000146072; ENSG00000139278; ENSG00000023330	211; 27242; 11010; 2274; 948	41	41
0.00206422477991	0.159412251592	RalA downstream regulated genes	Wikipathways	WP2290	ENSG00000017797; ENSG00000133703; ENSG00000006451	3845; 5898; 10928	12	12
0.00206422477991	0.159412251592	Signaling by NOTCH4	Reactome	R-HSA-1980150	ENSG00000184916; ENSG00000143801; ENSG00000101384	5664; 182; 3714	12	12
0.00292168417611	0.159412251592	Developmental Biology	Reactome	R-HSA-1266738	ENSG00000160145; ENSG00000105711; ENSG00000186111; ENSG00000184349; ENSG00000130669; ENSG00000014216; ENSG00000138623; ENSG00000010810; ENSG00000044115; ENSG00000054118; ENSG00000005339; ENSG00000006607; ENSG00000156299; ENSG00000141026; ENSG00000165995; ENSG00000042429; ENSG00000042753; ENSG00000011009; ENSG00000065320; ENSG00000008838; ENSG00000006125; ENSG00000008294; ENSG00000133703; ENSG00000081277; ENSG00000111057	9423; 6324; 23396; 9967; 11313; 2534; 163; 8482; 9440; 9043; 823; 3875; 8997; 1495; 3845; 783; 1387; 7074; 9855; 1175; 55090; 10298; 9862; 1946; 5317	620	619
0.00295833001165	0.159412251592	EGFR1	NetPath	Pathway_EGFR1	ENSG00000017797; ENSG00000133703; ENSG00000128512; ENSG00000006125; ENSG00000012983; ENSG00000010810; ENSG00000197965; ENSG00000189334; ENSG00000107796; ENSG00000042753; ENSG00000110400; ENSG00000143479; ENSG00000134909; ENSG00000162512; ENSG00000010219; ENSG00000177469; ENSG00000111057; ENSG00000095015; ENSG00000039319; ENSG00000180900	9019; 4214; 11183; 59; 2534; 163; 9765; 8798; 3875; 9743; 9732; 284119; 3845; 8444; 10928; 5818; 1175; 23513; 57402; 9672	457	455
0.00310281593528	0.159412251592	Notch Signaling	Wikipathways	WP268	ENSG00000005339; ENSG00000004975; ENSG00000184916; ENSG00000101384; ENSG00000143801	3714; 5664; 1856; 182; 1387	45	45
0.00330463013738	0.159412251592	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	Reactome	R-HSA-399955	ENSG00000010810; ENSG00000186111; ENSG00000006607	2534; 23396; 9855	14	14
0.00367223217361	0.159412251592	The role of Nef in HIV-1 replication and disease pathogenesis	Reactome	R-HSA-164952	ENSG00000010810; ENSG00000047249; ENSG00000006125; ENSG00000042753	2534; 1175; 51606; 163	29	29
0.00375783654782	0.159412251592	PCP/CE pathway	Reactome	R-HSA-4086400	ENSG00000042753; ENSG00000085741; ENSG00000180900; ENSG00000006125; ENSG00000004975	163; 1856; 7481; 1175; 23513	47	47
0.00375783654782	0.159412251592	Transcriptional regulation of white adipocyte differentiation	Reactome	R-HSA-381340	ENSG00000141026; ENSG00000008838; ENSG00000005339; ENSG00000042429; ENSG00000054118	55090; 1387; 9967; 9862; 9440	47	47
0.0039637214841	0.159412251592	Gap-filling DNA repair synthesis and ligation in TC-NER	Reactome	R-HSA-6782210	ENSG00000049167; ENSG00000021776; ENSG00000020426; ENSG00000035928; ENSG00000005075; ENSG00000005156	5439; 4331; 9716; 3980; 5981; 1161	68	68
0.00406338991884	0.159412251592	Hereditary Coproporphyria (HCP)	SMPDB	SMP00342	ENSG00000006695; ENSG00000014919; ENSG00000023330	211; 1352; 1355	15	15
0.00406338991884	0.159412251592	Porphyria Variegata (PV)	SMPDB	SMP00346	ENSG00000006695; ENSG00000014919; ENSG00000023330	211; 1352; 1355	15	15
